ObsID,SID,Observer,Unit,Species,Count,Size.Class,Substrate,Overhead.Cover,Instream.Cover,Hydrology.Code,Water.Depth..m.,Est.Size,LWD..,Comments
164,7,"TV,GS",20,NONE,NA,,NA,NA,,,NA,NA,NA,
168,7,KW,29,CHN,4,,NA,NA,,,NA,NA,NA,
170,7,BW,32A,NONE,NA,,NA,NA,,,NA,NA,NA,
171,7,"GS,TV",31A,NONE,NA,,NA,NA,,,NA,NA,NA,
175,8,TV,185,RBT,9,,NA,NA,,,NA,NA,NA,
178,8,"TV,KW",173,NONE,NA,,NA,NA,,,NA,NA,NA,
179,8,TV,174,RBT,1,,NA,NA,,,NA,NA,NA,
182,8,"BW,KW",172,RBT,2,,NA,NA,,,NA,NA,NA,
186,9,"CC,KS",216,RBTS,2,,NA,NA,,,NA,NA,NA,
187,9,"CC,KS",200,CHN,9,,NA,NA,,,NA,NA,NA,
189,9,"TV,KW",217,RBTS,3,,NA,NA,,,NA,NA,NA,
191,9,"CC,KS",215,NONE,NA,,NA,NA,,,NA,NA,NA,
193,9,"CC,KS",215B,NONE,NA,,NA,NA,,,NA,NA,NA,
196,9,"CC,GS",268,NONE,NA,,NA,NA,,,NA,NA,NA,
197,9,"KS,KW",323A,RBTS,3,,NA,NA,,,NA,NA,NA,
198,9,"KS,KW",323B,NONE,NA,,NA,NA,,,NA,NA,NA,
200,10,KW,352,CHN,1,,NA,NA,,,NA,NA,NA,
203,10,TV,355,NONE,NA,,NA,NA,,,NA,NA,NA,
204,10,KW,356,NONE,NA,,NA,NA,,,NA,NA,NA,
205,10,KS,358,NONE,NA,,NA,NA,,,NA,NA,NA,
207,10,JK,362,NONE,NA,,NA,NA,,,NA,NA,NA,
208,10,TV,370,NONE,NA,,NA,NA,,,NA,NA,NA,
210,10,KS,365,NONE,NA,,NA,NA,,,NA,NA,NA,
213,10,TV,405,NONE,NA,,NA,NA,,,NA,NA,NA,
214,10,"KW,KS",406,NONE,NA,,NA,NA,,,NA,NA,NA,
215,10,JK,407,NONE,NA,,NA,NA,,,NA,NA,NA,
218,10,JK,410,NONE,NA,,NA,NA,,,NA,NA,NA,
220,10,"KS,KW",446,NONE,NA,,NA,NA,,,NA,NA,NA,
221,10,JK,448,CHN,1,III,NA,NA,,,NA,NA,NA,
223,10,KS,450,NONE,NA,,NA,NA,,,NA,NA,NA,
224,10,JK,451,NONE,NA,,NA,NA,,,NA,NA,NA,
225,10,JK,452,NONE,NA,,NA,NA,,,NA,NA,NA,
226,11,KM,169,NONE,NA,,NA,NA,,,NA,NA,NA,
228,11,KM,189,RBTS,2,II,NA,NA,,,NA,NA,NA,
229,11,KM,210,RBTS,2,II,NA,NA,,,NA,NA,NA,
231,11,TV,170,NONE,NA,,NA,NA,,,NA,NA,NA,
234,11,TV,170,NONE,NA,,NA,NA,,,NA,NA,NA,
237,11,TV,185,RBTS,1,V,NA,NA,,,NA,375,NA,
240,11,TV,216,RBT,1,V,NA,NA,,,NA,450,NA,
241,11,TV,215A,RBTS,5,II,NA,NA,,,NA,NA,NA,
242,11,TV,215A,RBTS,2,III,NA,NA,,,NA,NA,NA,
244,11,KH,173,NONE,NA,,NA,NA,,,NA,NA,NA,
245,11,KH,176,CHN,100,II,NA,NA,,,NA,NA,NA,
247,11,KH,189,CHN,3,II,NA,NA,,,NA,NA,NA,
248,11,KH,189,CHN,3,II,NA,NA,,,NA,NA,NA,
251,11,KH,215,CHN,30,II,NA,NA,,,NA,NA,NA,
253,11,KG,171,CHN,20,II,NA,NA,,,NA,NA,NA,
254,11,KG,175,CHN,10,I,NA,NA,,,NA,NA,NA,
255,11,KG,175,RBTS,2,I,NA,NA,,,NA,NA,NA,
257,11,KG,185,RBTC,1,V,NA,NA,,,NA,350,NA,
260,11,KG,217,RBT,2,I,NA,NA,,,NA,NA,NA,
261,12,KH,121,NONE,NA,,NA,NA,,,NA,NA,NA,
262,12,KH,124,CHN,2,I,NA,NA,,,NA,NA,NA,
263,12,KH,119,CHN,7,II,NA,NA,,,NA,NA,NA,
265,12,KH,124,NONE,NA,,NA,NA,,,NA,NA,NA,
267,12,KH,126,NONE,NA,,NA,NA,,,NA,NA,NA,
268,12,KH,127,NONE,NA,,NA,NA,,,NA,NA,NA,
269,12,KH,19,CHN,30,II,NA,NA,,,NA,NA,NA,
271,12,KH,19,CHN,5,I,NA,NA,,,NA,NA,NA,
272,12,KH,19,RBTS,3,II,NA,NA,,,NA,NA,NA,
274,12,KH,24,RBTS,1,VI,NA,NA,,,NA,508,NA,
275,12,KH,24,RBT,2,V,NA,NA,,,NA,457,NA,
278,12,KH,25,CHN,100,II,NA,NA,,,NA,NA,NA,
281,12,KH,25,RBTS,10,I,NA,NA,,,NA,NA,NA,
283,12,TV,122,RBTS,4,II,NA,NA,,,NA,NA,NA,
284,12,TV,119,RBTS,8,I,NA,NA,,,NA,NA,NA,
286,12,TV,119,CHN,145,II,NA,NA,,,NA,NA,NA,
287,12,TV,119,RBTS,6,III,NA,NA,,,NA,NA,NA,
289,12,TV,23,CHN,750,I,NA,NA,,,NA,NA,NA,
290,12,TV,23,RBTS,2,II,NA,NA,,,NA,NA,NA,
293,13,PH,33,CHN,2,III,NA,NA,,,NA,NA,NA,
294,13,TV,33,RBTS,3,I,NA,NA,,,NA,NA,NA,
296,13,TV,33,RBTS,71,III,NA,NA,,,NA,NA,NA,
297,13,TV,33,CHN,344,II,NA,NA,,,NA,NA,NA,
298,13,PH/TV,26,RBTS,198,II,NA,NA,,,NA,NA,NA,
300,13,PH/TV,26,CHN,57,III,NA,NA,,,NA,NA,NA,
301,13,PH/TV,26,RBTS,2,III,NA,NA,,,NA,NA,NA,
304,13,PH,30,RBTC,1,IV,NA,NA,,,NA,250,NA,
305,13,TV,31,RBTC,1,VI,NA,NA,,,NA,500,NA,
307,13,TV/PH,31A,NONE,NA,,NA,NA,,,NA,NA,NA,
310,13,PH,29,RBTS,67,II,NA,NA,,,NA,NA,NA,
311,13,PH,29,CHN,225,II,NA,NA,,,NA,NA,NA,
312,13,TV,32A,CHN,4400,II,NA,NA,,,NA,NA,NA,
314,13,TV,32,CHN,500,III,NA,NA,,,NA,NA,NA,
315,14,SB,33,CHN,63,II,NA,NA,,,NA,NA,NA,
318,14,SB,33,RBTS,3,III,NA,NA,,,NA,NA,NA,
319,14,TV,33,CHN,15,I,NA,NA,,,NA,NA,NA,
102,3,,33,RBTS,17,III,NA,NA,,,NA,75,NA,
320,14,TV,33,CHN,110,II,NA,NA,,,NA,NA,NA,
321,14,TV,33,CHN,1,III,NA,NA,,,NA,NA,NA,
323,14,TV,33,RBTS,39,III,NA,NA,,,NA,NA,NA,
325,14,SB/TV,26,RBTS,1,I,NA,NA,,,NA,NA,NA,
326,14,SB/TV,26,RBTS,49,II,NA,NA,,,NA,NA,NA,
327,14,SB/TV,26,RBTS,11,III,NA,NA,,,NA,NA,NA,
328,14,ND,25,CHN,45,I,NA,NA,,,NA,NA,NA,
329,14,"ND,SB,TV",19,NONE,NA,,NA,NA,,,NA,NA,NA,
330,14,TV,24,RBTS,2,VI,NA,NA,,,NA,500,NA,
332,14,TV,24,RBTC,1,V,NA,NA,,,NA,375,NA,
333,14,SB,23,NONE,NA,,NA,NA,,,NA,NA,NA,
334,14,ND,32,CHN,500,III,NA,NA,,,NA,NA,NA,
336,14,ND,32A,CHN,35,III,NA,NA,,,NA,NA,NA,
338,14,SB,31A,NONE,NA,,NA,NA,,,NA,NA,NA,
341,15,ND,170,RBTC,1,V,NA,NA,,,NA,300,NA,
342,14,TV,30,RBTS,6,II,NA,NA,,,NA,NA,NA,
344,14,TV,29,RBTS,4,II,NA,NA,,,NA,NA,NA,
345,14,TV,29A,RBTC,1,V,NA,NA,,,NA,400,NA,
347,15,ND,174,RBTC,1,V,NA,NA,,,NA,300,NA,
348,15,ND,174,RBTC,1,V,NA,NA,,,NA,350,NA,
350,15,TV,173,RBTS,1,III,NA,NA,,,NA,NA,NA,
354,15,ND,217,RBTS,2,IV,NA,NA,,,NA,200,NA,
355,15,DG,171,NONE,NA,,NA,NA,,,NA,NA,NA,
356,15,DG,175,NONE,NA,,NA,NA,,,NA,NA,NA,
358,15,DG,185,RBTS,2,II,NA,NA,,,NA,NA,NA,
360,15,DG,185,RBTS,1,IV,NA,NA,,,NA,150,NA,
362,15,DG,185,RBT,1,V,NA,NA,,,NA,450,NA,
363,15,DG,185,CHN,3,II,NA,NA,,,NA,NA,NA,
364,15,DG,189,RBTS,2,II,NA,NA,,,NA,NA,NA,
366,15,DG,215A,RBTS,1,III,NA,NA,,,NA,NA,NA,
367,15,DG,215A,RBTS,3,II,NA,NA,,,NA,NA,NA,
368,15,DG,216,RBTC,1,IV,NA,NA,,,NA,250,NA,
370,16,SB,19,RBTS,1,IV,NA,NA,,,NA,130,NA,
371,16,SB,19,RBTS,6,IV,NA,NA,,,NA,110,NA,
373,16,DG,19,RBTC,1,V,NA,NA,,,NA,450,NA,
374,16,DG,24,RBTC,1,IV,NA,NA,,,NA,250,NA,
377,16,DG,31,RBTC,1,IV,NA,NA,,,NA,225,NA,
381,16,ND,25,CHN,5,VI,NA,NA,,,NA,800,NA,
382,16,ND,25,RBTC,3,V,NA,NA,,,NA,400,NA,
384,16,ND,32,RBTS,1,V,NA,NA,,,NA,350,NA,
385,16,DG,33,RBTS,69,II,NA,NA,,,NA,NA,NA,
387,16,DG,33,CHN,104,II,NA,NA,,,NA,NA,NA,
388,16,ND,33,CHN,95,II,NA,NA,,,NA,NA,NA,
391,16,DG,33,CHN,6,I,NA,NA,,,NA,NA,NA,
392,16,DG,33,CHN,1,III,NA,NA,,,NA,NA,NA,
393,16,ND,33,RBTS,1,I,NA,NA,,,NA,NA,NA,
395,16,DG,26,CHN,1,III,NA,NA,,,NA,NA,NA,
396,16,DG,26,RBTS,1,I,NA,NA,,,NA,NA,NA,
398,16,DG,26,RBTS,20,III,NA,NA,,,NA,NA,NA,
400,16,ND,26,RBTS,15,II,NA,NA,,,NA,NA,NA,
402,17,TV,30,RBTS,1,V,NA,NA,,,NA,350,NA,
403,17,TV,30,RBTC,2,V,NA,NA,,,NA,400,NA,
405,17,TV,32A,CHN,5000,II,NA,NA,,,NA,NA,NA,
406,17,TV,32,CHN,7000,II,NA,NA,,,NA,NA,NA,
407,17,TV,32A,RBTS,7,II,NA,NA,,,NA,NA,NA,
410,17,SB,29A,CHN,101,II,NA,NA,,,NA,NA,NA,
412,17,SB,29,NONE,NA,,NA,NA,,,NA,NA,NA,
414,17,TV,33,RBTS,67,II,NA,NA,,,NA,NA,NA,
416,17,TV,33,CHN,605,I,NA,NA,,,NA,NA,NA,
417,17,TV,33,CHN,490,II,NA,NA,,,NA,NA,NA,
419,17,ND,33,RBTS,87,I,NA,NA,,,NA,NA,NA,
420,17,ND,33,RBTS,25,II,NA,NA,,,NA,NA,NA,
421,17,ND,33,CHN,330,I,NA,NA,,,NA,NA,NA,
423,17,ND,33,CHN,20,III,NA,NA,,,NA,NA,NA,
425,18,ND,226,NONE,NA,,NA,NA,,,NA,NA,NA,
427,18,SB,225,CHN,50,I,NA,NA,,,NA,NA,NA,
428,18,SB,224,NONE,NA,,NA,NA,,,NA,NA,NA,
430,18,SB,229,CHN,100,I,NA,NA,,,NA,NA,NA,
431,18,SB,323B,CHN,20,II,NA,NA,,,NA,NA,NA,
434,18,JD,413,NONE,NA,,NA,NA,,,NA,NA,NA,
435,18,ND,408,NONE,NA,,NA,NA,,,NA,NA,NA,
437,18,SB,409,CHN,1,II,NA,NA,,,NA,NA,NA,
438,18,SB,411,NONE,NA,,NA,NA,,,NA,NA,NA,
440,18,ND,450,NONE,NA,,NA,NA,,,NA,NA,NA,
441,18,SB,451,NONE,NA,,NA,NA,,,NA,NA,NA,
443,18,SB,453,NONE,NA,,NA,NA,,,NA,NA,NA,
444,19,"PH,KH,SB",172,RBTS,1,IV,NA,NA,,,NA,250,NA,
445,19,"PH,KH,SB",172,RBTC,1,IV,NA,NA,,,NA,250,NA,
447,19,"PH,KH,SB",172,RBT,1,V,NA,NA,,,NA,350,NA,
448,19,"PH,KH,SB",172,RBTS,1,I,NA,NA,,,NA,NA,NA,
452,19,SB,217,CHN,40,I,NA,NA,,,NA,NA,NA,
454,19,SB,217,CHN,5,III,NA,NA,,,NA,NA,NA,
455,19,SB,217,RBTS,1,I,NA,NA,,,NA,NA,NA,
456,19,SB,210,CHN,300,I,NA,NA,,,NA,NA,NA,
459,19,SB,210,RBTS,1,I,NA,NA,,,NA,NA,NA,
461,19,KH,215B,CHN,20,I,NA,NA,,,NA,NA,NA,
462,19,PH,215A,RBTS,3,I,NA,NA,,,NA,NA,NA,
463,19,PH,215A,RBTS,2,I,NA,NA,,,NA,NA,NA,
466,19,PH,215A,CHN,250,II,NA,NA,,,NA,NA,NA,
467,19,PH,205,CHN,350,I,NA,NA,,,NA,NA,NA,
469,19,PH,216,RBTS,1,V,NA,NA,,,NA,350,NA,
470,19,PH,216,RBT,1,V,NA,NA,,,NA,350,NA,
472,19,KH,215,CHN,10,I,NA,NA,,,NA,NA,NA,
473,19,KH,200,CHN,400,I,NA,NA,,,NA,NA,NA,
474,19,KH,210,CHN,340,I,NA,NA,,,NA,NA,NA,
476,19,PH,185,RBTS,11,I,NA,NA,,,NA,NA,NA,
478,19,PH,185,RBTS,1,V,NA,NA,,,NA,350,NA,
482,19,KH/SB,189,CHN,915,I,NA,NA,,,NA,NA,NA,
483,19,KH/SB,189,CHN,15,III,NA,NA,,,NA,NA,NA,
485,20,SB,105,RBTS,10,I,NA,NA,,,NA,NA,NA,
486,20,JD,104,RBT,1,V,NA,NA,,,NA,350,NA,
488,20,KM,100,CHN,150,I,NA,NA,,,NA,NA,NA,
489,20,KM,100,CHN,135,II,NA,NA,,,NA,NA,NA,
491,20,SB,98,CHN,40,I,NA,NA,,,NA,NA,NA,
492,20,TV,174,RBTS,1,V,NA,NA,,,NA,300,NA,
493,20,TV,174,RBT,1,V,NA,NA,,,NA,300,NA,
495,20,SB,175,CHN,60,I,NA,NA,,,NA,NA,NA,
497,20,SB,178,CHN,40,I,NA,NA,,,NA,NA,NA,
499,20,SB,178,RBTS,17,I,NA,NA,,,NA,NA,NA,
500,20,SB,183,CHN,740,I,NA,NA,,,NA,NA,NA,
502,20,JD,170,CHN,3,I,NA,NA,,,NA,NA,NA,
503,20,KM,169,CHN,235,I,NA,NA,,,NA,NA,NA,
505,20,KM,169,RBT,20,I,NA,NA,,,NA,NA,NA,
508,20,KM,176,CHN,1400,I,NA,NA,,,NA,NA,NA,
509,20,KM,176,CHN,1375,II,NA,NA,,,NA,NA,NA,
510,21,PH,21,RBTS,1,VI,NA,NA,,,NA,550,NA,
512,21,SB,21,RBT,1,V,NA,NA,,,NA,475,NA,
515,21,PH,30,RBTS,1,V,NA,NA,,,NA,400,NA,
516,21,PH,30,RBT,1,VI,NA,NA,,,NA,600,NA,
519,21,PH,32A,RBTS,83,I,NA,NA,,,NA,NA,NA,
520,21,SB,25,RBTS,5,I,NA,NA,,,NA,NA,NA,
522,21,PH,121A,RBTS,3,I,NA,NA,,,NA,NA,NA,
523,21,PH,121A,CHN,50,II,NA,NA,,,NA,NA,NA,
524,21,PH,121A,CHN,425,I,NA,NA,,,NA,NA,NA,
525,21,PH,119,RBTS,46,I,NA,NA,,,NA,NA,NA,
527,21,SB,119,RBTS,36,I,NA,NA,,,NA,NA,NA,
528,21,SB,119,CHN,205,I,NA,NA,,,NA,NA,NA,
530,22,"PH,SB,KH",26,CHN,3337,I,NA,NA,,,NA,NA,NA,
531,22,"PH,SB,KH",26,CHN,355,II,NA,NA,,,NA,NA,NA,
534,22,"PH,SB,KH",33,CHN,215,II,NA,NA,,,NA,NA,NA,
122,4,,25,NONE,NA,,NA,NA,,,NA,NA,NA,
1057,46,MM,54,RBTS,1,III,3,1,,Riffle Edgewater,0.2,90,NA,
1060,46,MM,56,LMB,20,II,3,1,,Pool,0.5,60,NA,
1061,46,MM,56,SASQ/HH,12,II,3,1,,Pool,0.5,60,NA,
1062,46,DR,56,SASQ/HH,20,II,3,0,A,Riffle,0.25,65,NA,
1068,46,MM,104,CHN,6,VI,5,0,A,Riffle,1,900,NA,
1069,46,MM,103,RBTS,1,III,4,3,A,Riffle,0.2,90,NA,
1070,47,KM,121,RBTS,1,IV,4,0,A,Glide,0.5,150,NA,
1071,47,KM,120,RBTS,1,V,4,0,A,Riffle,1,300,NA,
1072,47,KM,120,RBTS,1,V,4,0,A,Riffle,1,350,NA,
1075,47,MM,120,RBTS,2,V,4,0,A,Riffle,1,400,NA,
1076,47,TV,119,RBTS,1,IV,4,0,A,Riffle,1,190,NA,
1077,47,MM,120,SASQ/HH,90,I,3,1,,Glide,1,25,NA,
1078,47,DR,165,RBT,1,VI,2,0,A,Pool,2,500,NA,
1081,47,TV,169,SASQ/HH,1,IV,5,0,A,Glide,NA,250,NA,
1082,47,TV,174,RBTS,1,V,5,0,A,Glide,1,350,NA,
1083,47,TV,177,RBTS,1,IV,5,0,A,Glide,0.75,200,NA,
1091,48,DR,185,CHN,1,VI,5,0,A,Glide,0.5,600,NA,
1092,48,DR,185,RBT,1,VI,5,0,A,Glide,0.5,500,NA,
1093,48,DR,185,SASQ/HH,12,I,3,1,B,Riffle,0.25,35,NA,
1094,48,JC,189,SASQ/HH,300,I,2,0,E,Pool,1.5,35,NA,
1096,48,KM,189,RBTS,2,IV,4,0,B,Riffle,0.4,150,NA,
1097,48,KM,189,RBTS,1,V,4,1,B,Riffle,0.4,300,NA,
1098,48,KM,189,RBTS,5,IV,4,0,B,Riffle,0.4,200,NA,
1099,48,KM,185,RBT,1,IV,4,0,A,Riffle,1.5,200,NA,
1100,48,DR,216,RBT,1,IV,4,0,A,Riffle,0.5,275,NA,
1101,48,DR,216,RBT,1,VI,4,0,A,Glide,3,500,NA,
1102,48,DR,216,CHN,1,VI,4,0,A,Glide,3,700,NA,
1103,48,DR,216,CHN,1,VI,4,0,A,Glide,3,800,NA,
1106,48,JC,210,RBTS,1,V,2,0,A,Riffle,0.5,300,NA,
1107,48,MM,200,RBT,1,V,4,0,E,,1,325,NA,
1108,48,MM,200,SASQ/HH,2,IV,4,0,E,,2,200,NA,
1109,48,MM,210,SASQ/HH,35,IV,3,1,B,Glide,0.5,175,NA,
1110,48,MM,210,LMB,2,IV,3,0,E,Pool,0.75,175,NA,
1111,48,JC,210,SASQ/HH,50,V,2,0,C,Glide,2,375,NA,
1112,48,JC,210,SASQ/HH,30,II,1,2,B,Pool,1,65,NA,
1113,48,MM,217,RBTS,2,IV,4,3,A,Riffle,1,175,NA,
1114,48,MM,217,RBT,1,III,4,1,B,Riffle,0.1,85,NA,
1117,48,MM,226,SASQ/HH,2,V,4,0,A,Glide,1,325,NA,
1121,49,KM,30,RBTS,1,V,1,0,A,Riffle,0.35,300,NA,
1122,49,KM,30,RBTS,1,V,1,0,A,Riffle,0.35,400,NA,
1123,49,DR,30,RBTS,4,IV,3,0,A,Riffle,0.35,225,NA,
1125,49,DR,30,RBTS,1,V,3,0,A,Riffle,0.35,375,NA,
1126,49,DR,31,RBTS,3,V,4,0,A,Riffle,0.5,400,NA,
1127,49,DR,31,CHN,2,VI,4,0,A,Riffle,0.5,700,NA,
1129,49,DR,28,RBT,2,IV,4,0,A,Glide,0.75,150,NA,
1131,50,KM,33,RBTS,1,III,3,2,B,Riffle,0.5,75,NA,
1132,50,MM,33,RBTS,2,IV,1,1,B,Pool,0.3,100,NA,
1133,50,MM,33,RBTS,2,IV,4,1,B,Riffle,0.3,110,NA,
1134,50,MM,33,RBTS,15,IV,3,1,B,Pool,0.3,125,NA,
1138,50,KM,32,RBTS,1,V,4,3,A,Riffle,0.5,300,NA,
1139,50,KM,32,RBTS,2,IV,4,3,A,Riffle,0.5,250,NA,
1140,50,MM,30,RBTS,8,IV,4,3,A,Riffle,0.5,175,NA,
1141,50,MM,31,CHN,8,VI,4,3,A,Riffle,0.5,725,NA,
1142,50,KM,32,CHN,1,VI,4,3,A,Riffle,0.5,650,NA,
1143,50,MM,31,RBTS,12,V,4,3,A,Riffle,0.5,325,NA,
1144,51,MM,55,CHN,5,VI,4,3,A,Riffle,0.7,800,NA,
1059,46,MM,56,LMB,2,V,3,1,,Pool,0.5,350,NA,
1145,51,MM,55,RBTC,1,V,4,3,A,Riffle,0.7,425,NA,
1146,51,MM,56,LMB,1,V,3,1,C,Pool,1,400,NA,
1147,51,MM,56,RBT,1,IV,3,3,A,Riffle,0.25,120,NA,
1148,51,DR,55,CHN,30,VI,4,3,A,Riffle,0.75,800,NA,
1151,51,DR,104,CHN,12,VI,4,0,A,Riffle,0.75,750,NA,
1153,51,TV,104,RBTS,1,V,4,3,A,Riffle,1,450,NA,
1154,51,TV,104,RBT,2,V,4,3,A,Riffle,1,400,NA,
1156,51,JC,120,RBT,1,V,4,3,A,Riffle,0.75,400,NA,
1157,51,JC,120,CHN,3,VI,4,3,A,Riffle,0.75,650,NA,
1158,51,TV,120,RBTC,1,VI,4,3,A,Riffle,0.75,500,NA,
1159,51,TV,119,SASQ/HH,5,IV,3,1,B,Riffle,0.5,200,NA,
1161,51,KM,120,CHN,2,VI,4,3,A,Riffle,0.4,800,NA,
1162,52,MM,174,CHN,1,VI,5,3,A,Riffle,0.5,750,NA,
1163,52,MM,177,RBTS,2,VI,5,0,A,Glide,0.75,600,NA,
1164,52,MM,177,CHN,3,VI,5,0,A,Glide,0.75,800,NA,
1165,52,MM,177,SASQ/HH,10,VI,5,0,A,Pool,1.5,500,NA,
1167,52,KM,174,CHN,1,VI,5,0,A,Riffle,0.4,825,NA,
1169,52,KM,183,SASQ/HH,1,VI,4,2,A,Pool,0.5,800,NA,
1170,52,MM,176,SASQ/HH,5,VI,5,0,B,Pool,2,750,NA,
1173,52,DR,185,SASQ/HH,5,II,3,1,B,Riffle,0.25,50,NA,
1174,52,TV,189,RBTS,5,IV,3,2,A,Riffle,0.5,180,NA,
1175,52,DR,189,SASQ/HH,1,VI,2,2,,Pool,2,750,NA,
1176,52,TV,185,RBTC,1,VI,3,3,A,Riffle,1,500,NA,
1178,52,MM,225,CHN,12,VI,4,3,A,Riffle,0.7,800,NA,
1179,52,MM,226,CHN,6,VI,5,0,A,Glide,1,850,NA,
1180,52,MM,228,SASQ/HH,50,II,2,1,B,Glide,0.2,50,NA,
1181,52,MM,228,SASQ/HH,1,V,3,0,C,Pool,2,400,NA,
1182,52,KM,221,RBTS,1,VI,4,0,A,Riffle,0.5,750,NA,
1183,52,KM,221,CHN,1,VI,4,0,A,Riffle,NA,800,NA,
1185,53,DR,217,RBTS,1,IV,4,1,A,Riffle,0.25,175,NA,
1186,53,DR,217,SASQ/HH,200,II,3,1,E,Glide,0.25,70,NA,
1187,53,DR,216,RBTS,3,IV,4,3,A,Riffle,0.75,275,NA,
1188,53,DR,216,RBTS,1,VI,4,0,A,Riffle,1,550,NA,
1189,53,DR,216,RBTC,1,VI,4,0,A,Riffle,1,600,NA,
1190,53,DR,216,CHN,1,VI,5,3,A,Glide,3,650,NA,
1191,53,DR,215B,SASQ/HH,30,IV,3,1,C,Glide,0.75,150,NA,
1192,53,DR,215B,SASQ/HH,2,V,3,1,C,Glide,1.25,400,NA,
1193,53,DR,200,RBTS,2,V,3,0,A,Glide,2,300,NA,
1194,53,DR,200,RBTS,1,V,3,0,A,Glide,2,475,NA,
1195,53,DR,210,RBT,1,V,4,3,A,Riffle,0.75,475,NA,
1196,53,DR,210,SASQ/HH,1,V,3,0,A,Glide,2,450,NA,
1197,53,MM,215,RBTS,3,IV,3,1,,Glide,1,125,NA,
