,year,location,survey_group,spawning_area,surveyed,redd_observed,survey_week,
56,2015,bigholewest,hfc,TRUE,TRUE,FALSE,5 & 6 & 10 & 13,
58,2015,developing,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
61,2015,g95eastsidechannelbottom,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
62,2015,g95eastsidechanneltop,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
63,2015,g95main,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
64,2015,g95westsidechannel,hfc,FALSE,TRUE,TRUE,5 & 6 & 10 & 13,
66,2015,goose,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
71,2015,keister,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
73,2015,lowerbig,hfc,FALSE,TRUE,,,
74,2015,lowerhour,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
75,2015,lowermcfarland,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
78,2015,lowervanceeast,hfc,TRUE,TRUE,FALSE,5 & 6 & 10 & 13,
82,2015,palm,hfc,FALSE,TRUE,,,
92,2015,upperhour,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
94,2015,uppermcfarland,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
96,2015,vanceeast,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
97,2015,vancewest,hfc,TRUE,TRUE,FALSE,5 & 6 & 10 & 13,
50,2015,aleck,lfc,TRUE,FALSE,FALSE,NA,
59,2015,eye,lfc,FALSE,FALSE,FALSE,NA,
60,2015,eyesidechannel,lfc,TRUE,FALSE,FALSE,NA,
65,2015,gateway,lfc,TRUE,FALSE,FALSE,NA,
67,2015,greatwestern,lfc,FALSE,FALSE,FALSE,NA,
76,2015,lowerrobinson,lfc,TRUE,FALSE,FALSE,NA,
79,2015,mathews,lfc,TRUE,FALSE,FALSE,NA,
83,2015,steep,lfc,TRUE,FALSE,FALSE,NA,
84,2015,steepsidechannel,lfc,FALSE,FALSE,FALSE,NA,
88,2015,trailerpark,lfc,TRUE,FALSE,FALSE,NA,
93,2015,uppermathews,lfc,FALSE,FALSE,FALSE,NA,
95,2015,upperrobinson,lfc,TRUE,FALSE,FALSE,NA,
98,2015,weir,lfc,TRUE,FALSE,FALSE,NA,
100,2016,bedrock,gsa,FALSE,FALSE,FALSE,NA,No surveys performed at Bedrock in 2016
102,2016,belowlowerauditorium,gsa,FALSE,FALSE,FALSE,NA,No surveys performed at Below Lower Auditorium in 2016
106,2016,cottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
117,2016,hatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
118,2016,hatcherypipe,gsa,TRUE,FALSE,FALSE,NA,No surveys performed at Hatchery Pipe in 2016
119,2016,hatcherysidechannel,gsa,TRUE,FALSE,FALSE,NA,No surveys performed at Hatchery Sidechannel in 2016
121,2016,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
126,2016,lowertablemountain,gsa,TRUE,FALSE,FALSE,NA,No surveys performed at Lower Table Mountain in 2016
129,2016,middleauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
130,2016,moessidechannel,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8,
134,2016,tablemountain,gsa,TRUE,FALSE,FALSE,NA,No surveys performed at Table Mountain in 2016
135,2016,topofauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
136,2016,topofhatchery,gsa,FALSE,FALSE,FALSE,NA,No surveys performed at Top of Hatchery in 2016
138,2016,upperauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
139,2016,uppercottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
140,2016,upperhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
101,2016,belowbigholeeast,hfc,FALSE,FALSE,FALSE,NA,
103,2016,bigbar,hfc,TRUE,FALSE,FALSE,NA,
104,2016,bigholeeast,hfc,TRUE,FALSE,FALSE,NA,
105,2016,bigholewest,hfc,TRUE,FALSE,FALSE,NA,
107,2016,developing,hfc,TRUE,FALSE,FALSE,NA,
110,2016,g95eastsidechannelbottom,hfc,TRUE,FALSE,FALSE,NA,
111,2016,g95eastsidechanneltop,hfc,TRUE,FALSE,FALSE,NA,
112,2016,g95main,hfc,TRUE,FALSE,FALSE,NA,
113,2016,g95westsidechannel,hfc,FALSE,FALSE,FALSE,NA,
115,2016,goose,hfc,TRUE,FALSE,FALSE,NA,
120,2016,keister,hfc,TRUE,FALSE,FALSE,NA,
122,2016,lowerbig,hfc,FALSE,FALSE,FALSE,NA,
123,2016,lowerhour,hfc,TRUE,FALSE,FALSE,NA,
124,2016,lowermcfarland,hfc,TRUE,FALSE,FALSE,NA,
127,2016,lowervanceeast,hfc,TRUE,FALSE,FALSE,NA,
131,2016,palm,hfc,FALSE,FALSE,FALSE,NA,
141,2016,upperhour,hfc,TRUE,FALSE,FALSE,NA,
143,2016,uppermcfarland,hfc,TRUE,FALSE,FALSE,NA,
145,2016,vanceeast,hfc,TRUE,FALSE,FALSE,NA,
146,2016,vancewest,hfc,TRUE,FALSE,FALSE,NA,
99,2016,aleck,lfc,TRUE,FALSE,FALSE,NA,
108,2016,eye,lfc,FALSE,FALSE,FALSE,NA,
109,2016,eyesidechannel,lfc,TRUE,FALSE,FALSE,NA,
114,2016,gateway,lfc,TRUE,FALSE,FALSE,NA,
116,2016,greatwestern,lfc,FALSE,FALSE,FALSE,NA,
125,2016,lowerrobinson,lfc,TRUE,FALSE,FALSE,NA,
128,2016,mathews,lfc,TRUE,FALSE,FALSE,NA,
132,2016,steep,lfc,TRUE,FALSE,FALSE,NA,
133,2016,steepsidechannel,lfc,FALSE,FALSE,FALSE,NA,
137,2016,trailerpark,lfc,TRUE,FALSE,FALSE,NA,
142,2016,uppermathews,lfc,FALSE,FALSE,FALSE,NA,
144,2016,upperrobinson,lfc,TRUE,FALSE,FALSE,NA,
147,2016,weir,lfc,TRUE,FALSE,FALSE,NA,
149,2017,bedrock,gsa,FALSE,FALSE,FALSE,NA,Surveys were not performed at Bedrock in 2017
151,2017,belowlowerauditorium,gsa,FALSE,FALSE,FALSE,NA,Surveys were not performed at Below Auditorium in 2017
155,2017,cottonwood,gsa,FALSE,TRUE,FALSE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Cottonwood was surveyed but no redds were observed
166,2017,hatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
167,2017,hatcherypipe,gsa,TRUE,FALSE,FALSE,NA,Surveys were not performed at Hatchery Pipe in 2017
168,2017,hatcherysidechannel,gsa,TRUE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
170,2017,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
175,2017,lowertablemountain,gsa,TRUE,TRUE,TRUE,9 & 11,
178,2017,middleauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
179,2017,moessidechannel,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
183,2017,tablemountain,gsa,TRUE,TRUE,TRUE,9 & 11,
184,2017,topofauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
185,2017,topofhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
187,2017,upperauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
188,2017,uppercottonwood,gsa,FALSE,TRUE,FALSE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Upper Cottonwood was surveyed but no redds were observed
189,2017,upperhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
150,2017,belowbigholeeast,hfc,FALSE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Below Big Hole East was surveyed but no redds were observed
152,2017,bigbar,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
153,2017,bigholeeast,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
154,2017,bigholewest,hfc,TRUE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Big Hole West was surveyed but no redds were observed
156,2017,developing,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
159,2017,g95eastsidechannelbottom,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
160,2017,g95eastsidechanneltop,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
161,2017,g95main,hfc,TRUE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,G95 Main was surveyed but no redds were observed
162,2017,g95westsidechannel,hfc,FALSE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
164,2017,goose,hfc,TRUE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Goose was surveyed but no redds were observed
169,2017,keister,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
171,2017,lowerbig,hfc,FALSE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Lower Big was surveyed but no redds were observed
172,2017,lowerhour,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
173,2017,lowermcfarland,hfc,TRUE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Lower McFarland was surveyed but no redds were observed
176,2017,lowervanceeast,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
180,2017,palm,hfc,FALSE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Palm was surveyed but no redds were observed
190,2017,upperhour,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
192,2017,uppermcfarland,hfc,TRUE,TRUE,FALSE,3 & 7 & 9 & 11 & 12,Upper McFarland was surveyed but not redds were observed
194,2017,vanceeast,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
195,2017,vancewest,hfc,TRUE,TRUE,TRUE,3 & 7 & 9 & 11 & 12,
148,2017,aleck,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
157,2017,eye,lfc,FALSE,TRUE,,,
158,2017,eyesidechannel,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
163,2017,gateway,lfc,TRUE,TRUE,FALSE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Gateway was surveyed but no redds were observed
165,2017,greatwestern,lfc,FALSE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Surveys were performed at Great Western
174,2017,lowerrobinson,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
177,2017,mathews,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
181,2017,steep,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
182,2017,steepsidechannel,lfc,FALSE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Surveys were performed at Steep Side Channel
186,2017,trailerpark,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
191,2017,uppermathews,lfc,FALSE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,Surveys were performed at Upper Mathews. 
193,2017,upperrobinson,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
196,2017,weir,lfc,TRUE,TRUE,TRUE,1 & 2 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
198,2018,bedrock,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
200,2018,belowlowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
204,2018,cottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
215,2018,hatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
216,2018,hatcherypipe,gsa,TRUE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
217,2018,hatcherysidechannel,gsa,TRUE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
219,2018,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
224,2018,lowertablemountain,gsa,TRUE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
227,2018,middleauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
228,2018,moessidechannel,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
232,2018,tablemountain,gsa,TRUE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
233,2018,topofauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
234,2018,topofhatchery,gsa,FALSE,FALSE,FALSE,NA,Top of Hatchery was not surveyed in 2018
236,2018,upperauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
237,2018,uppercottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
238,2018,upperhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 &5 & 6 & 7 & 8,
199,2018,belowbigholeeast,hfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
201,2018,bigbar,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
202,2018,bigholeeast,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
203,2018,bigholewest,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
205,2018,developing,hfc,TRUE,TRUE,FALSE,2 & 3 & 4 & 6 & 7 & 9 & 10,Developing was surveyed but no redds were observed
208,2018,g95eastsidechannelbottom,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
209,2018,g95eastsidechanneltop,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
210,2018,g95main,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
211,2018,g95westsidechannel,hfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
213,2018,goose,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
218,2018,keister,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
220,2018,lowerbig,hfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
221,2018,lowerhour,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
222,2018,lowermcfarland,hfc,TRUE,TRUE,FALSE,2 & 3 & 4 & 6 & 7 & 9 & 10,Lower McFarland was surveyed but no redds were observed
225,2018,lowervanceeast,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
229,2018,palm,hfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
239,2018,upperhour,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
241,2018,uppermcfarland,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
243,2018,vanceeast,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
244,2018,vancewest,hfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 6 & 7 & 9 & 10,
197,2018,aleck,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
206,2018,eye,lfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,Surveys were performed at Eye in 2018
207,2018,eyesidechannel,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
212,2018,gateway,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
223,2018,lowerrobinson,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
226,2018,mathews,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
230,2018,steep,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
231,2018,steepsidechannel,lfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,Surveys were performed at Steep Side Channel
235,2018,trailerpark,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
214,2018,greatwestern,lfc,FALSE,TRUE,,2 & 3 & 4 & 7 & 8,
240,2018,uppermathews,lfc,FALSE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,Upper Mathews was surveyed in 2018. 
242,2018,upperrobinson,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
245,2018,weir,lfc,TRUE,TRUE,TRUE,2 & 3 & 4 & 7 & 8,
247,2019,bedrock,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
249,2019,belowlowerauditorium,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
253,2019,cottonwood,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
264,2019,hatchery,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
265,2019,hatcherypipe,gsa,TRUE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
266,2019,hatcherysidechannel,gsa,TRUE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
268,2019,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
273,2019,lowertablemountain,gsa,TRUE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
276,2019,middleauditorium,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
277,2019,moessidechannel,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
281,2019,tablemountain,gsa,TRUE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
282,2019,topofauditorium,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
283,2019,topofhatchery,gsa,FALSE,FALSE,FALSE,NA,Top of Hatchery was not surveyed in 2019
285,2019,upperauditorium,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
286,2019,uppercottonwood,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
287,2019,upperhatchery,gsa,FALSE,TRUE,TRUE,1 &  2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11,
248,2019,belowbigholeeast,hfc,FALSE,TRUE,TRUE,3 & 4 & 5 & 6 & 7 & 9 & 12,
250,2019,bigbar,hfc,TRUE,TRUE,TRUE,3 & 4 & 5 & 6 & 7 & 9 & 12,
251,2019,bigholeeast,hfc,TRUE,TRUE,TRUE,3 & 4 & 5 & 6 & 7 & 9 & 12,
252,2019,bigholewest,hfc,TRUE,TRUE,TRUE,3 & 4 & 5 & 6 & 7 & 9 & 12,
254,2019,developing,hfc,TRUE,TRUE,FALSE,3 & 4 & 5 & 6 & 7 & 9 & 12,Developing was surveyed but no redds were observed
