location,mission_group,channel_location,mission_label,date,redd_total
Eye Main,"Eye Main, Eye Side Channel",LFC,#2,2025-09-11,3
Eye Side Channel,"Eye Main, Eye Side Channel",LFC,#2,2025-09-11,0
Upper Gateway,"Upper Gateway, Lower Gateway",LFC,#2,2025-09-11,0
Lower Gateway,"Upper Gateway, Lower Gateway",LFC,#2,2025-09-11,0
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,15
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,12
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,1
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,10
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,9
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#3,2025-09-16,9
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#3,2025-09-16,30
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#3,2025-09-16,17
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#3,2025-09-16,8
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#3,2025-09-16,25
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#3,2025-09-16,16
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#3,2025-09-16,43
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#3,2025-09-16,31
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,27
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,47
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,12
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,16
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,29
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#4,2025-09-24,5
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#4,2025-09-24,35
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#4,2025-09-24,51
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#4,2025-09-24,41
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-24,15
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-24,11
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-24,80
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-26,144
Trailer Park,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-24,104
Mathews,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-24,7
Aleck,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-25,11
Upper Robinson,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-25,16
Lower Robinson,Lower Auditorium to Upper Auditorium,LFC,#4,2025-09-25,25
Steep,"Steep, Weir",LFC,#4,2025-09-26,5
Weir,"Steep, Weir",LFC,#4,2025-09-26,14
Eye Main,"Eye Main, Eye Side Channel",LFC,#4,2025-09-25,0
Eye Side Channel,"Eye Main, Eye Side Channel",LFC,#4,2025-09-25,1
Upper Gateway,"Upper Gateway, Lower Gateway",LFC,#4,2025-09-25,0
Lower Gateway,"Upper Gateway, Lower Gateway",LFC,#4,2025-09-25,0
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,26
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,46
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,4
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,11
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,35
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#5,2025-10-02,16
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#5,2025-10-02,9
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#5,2025-10-02,22
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#5,2025-10-02,43
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#5,2025-10-02,11
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#5,2025-10-02,5
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#5,2025-10-02,11
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#5,2025-10-02,30
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,15
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,8
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,4
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,4
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,5
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#6,2025-10-08,4
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#6,2025-10-08,16
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#6,2025-10-08,32
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#6,2025-10-08,3
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,19
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,8
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,24
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,25
Trailer Park,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,18
Mathews,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-08,8
Aleck,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-09,8
Upper Robinson,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-09,15
Lower Robinson,Lower Auditorium to Upper Auditorium,LFC,#6,2025-10-09,34
Steep,"Steep, Weir",LFC,#6,2025-10-09,5
Weir,"Steep, Weir",LFC,#6,2025-10-09,12
Eye Main,"Eye Main, Eye Side Channel",LFC,#6,2025-10-09,0
Eye Side Channel,"Eye Main, Eye Side Channel",LFC,#6,2025-10-09,0
Upper Gateway,"Upper Gateway, Lower Gateway",LFC,#6,2025-10-09,0
Lower Gateway,"Upper Gateway, Lower Gateway",LFC,#6,2025-10-09,0
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,9
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,32
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,8
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,2
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,14
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#7,2025-10-16,8
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#7,2025-10-16,9
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#7,2025-10-16,33
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#7,2025-10-16,26
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#7,2025-10-16,7
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#7,2025-10-16,12
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#7,2025-10-16,49
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#7,2025-10-16,51
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,13
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,15
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,6
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,6
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,0
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#8,2025-10-24,0
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#8,2025-10-24,12
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#8,2025-10-24,14
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#8,2025-10-24,9
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#8,2025-10-24,17
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#8,2025-10-24,22
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#8,2025-10-24,67
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#8,2025-10-24,66
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,4
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,2
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,3
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,2
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,0
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#9,2025-10-29,0
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#9,2025-10-29,2
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#9,2025-10-29,3
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#9,2025-10-29,1
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-29,3
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-29,1
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-29,3
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-29,22
Trailer Park,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-28,81
Mathews,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-28,9
Aleck,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-28,37
Upper Robinson,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-28,18
Lower Robinson,Lower Auditorium to Upper Auditorium,LFC,#9,2025-10-28,44
Steep,"Steep, Weir",LFC,#9,2025-10-28,10
Weir,"Steep, Weir",LFC,#9,2025-10-28,41
Eye Main,"Eye Main, Eye Side Channel",LFC,#9,2025-10-28,2
Eye Side Channel,"Eye Main, Eye Side Channel",LFC,#9,2025-10-28,8
Upper Gateway,"Upper Gateway, Lower Gateway",LFC,#9,2025-10-28,0
Lower Gateway,"Upper Gateway, Lower Gateway",LFC,#9,2025-10-28,5
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#10,2025-11-07,0
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#10,2025-11-07,0
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#10,2025-11-07,0
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#10,2025-11-07,2
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#10,2025-11-07,0
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#10,2025-11-07,0
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#10,2025-11-07,0
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#10,2025-11-07,3
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#11,2025-11-12,0
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#11,2025-11-12,0
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#11,2025-11-12,0
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#11,2025-11-12,0
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#11,2025-11-12,0
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#11,2025-11-12,0
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#11,2025-11-12,0
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#11,2025-11-12,0
Trailer Park,Lower Auditorium to Upper Auditorium,LFC,#12,2025-11-18,6
Mathews,Lower Auditorium to Upper Auditorium,LFC,#12,2025-11-18,0
Aleck,Lower Auditorium to Upper Auditorium,LFC,#12,2025-11-18,0
Upper Robinson,Lower Auditorium to Upper Auditorium,LFC,#12,2025-11-18,0
Lower Robinson,Lower Auditorium to Upper Auditorium,LFC,#12,2025-11-18,2
Steep,"Steep, Weir",LFC,#12,2025-11-18,0
Weir,"Steep, Weir",LFC,#12,2025-11-18,3
Eye Main,"Eye Main, Eye Side Channel",LFC,#12,2025-11-18,1
Eye Side Channel,"Eye Main, Eye Side Channel",LFC,#12,2025-11-18,0
Upper Gateway,"Upper Gateway, Lower Gateway",LFC,#12,2025-11-18,0
Lower Gateway,"Upper Gateway, Lower Gateway",LFC,#12,2025-11-18,1
Vance East,"Vance East, Vance West, Lower Vance East",HFC,#8,2025-10-22,40
Vance West,"Vance East, Vance West, Lower Vance East",HFC,#8,2025-10-22,24
Lower Vance East,"Vance East, Vance West, Lower Vance East",HFC,#8,2025-10-22,17
Big Hole East,"Big Hole East, Big Hole West",HFC,#8,2025-10-22,95
Big Hole West,"Big Hole East, Big Hole West",HFC,#8,2025-10-22,16
Below Big Hole East,"Big Hole East, Big Hole West",HFC,#8,2025-10-22,22
G95 West,"G95 West, G95 Main, G95 East Top",HFC,#8,2025-10-22,26
G95 Main,"G95 West, G95 Main, G95 East Top",HFC,#8,2025-10-22,31
G95 East Top,"G95 West, G95 Main, G95 East Top",HFC,#8,2025-10-22,28
G95 East Bottom,"G95 Main, G95 East Top",HFC,#8,2025-10-22,35
Upper Hour,"G95 Main, G95 East Top",HFC,#8,2025-10-22,20
Lower Hour,"G95 Main, G95 East Top",HFC,#8,2025-10-22,42
Keister,"G95 Main, G95 East Top",HFC,#8,2025-10-22,30
Goose,"G95 Main, G95 East Top",HFC,#8,2025-10-23,6
Big Riffle,"G95 Main, G95 East Top",HFC,#8,2025-10-23,21
Below Big Riffle,"G95 Main, G95 East Top",HFC,#8,2025-10-23,4
Big Bar,"G95 Main, G95 East Top",HFC,#8,2025-10-23,12
Upper McFarland,"G95 Main, G95 East Top",HFC,#8,2025-10-23,12
Lower McFarland,"G95 Main, G95 East Top",HFC,#8,2025-10-23,1
Developing,"G95 Main, G95 East Top",HFC,#8,2025-10-23,0
Vance East,"Vance East, Vance West, Lower Vance East",HFC,#10,2025-11-06,14
Vance West,"Vance East, Vance West, Lower Vance East",HFC,#10,2025-11-06,2
Lower Vance East,"Vance East, Vance West, Lower Vance East",HFC,#10,2025-11-06,2
Big Hole East,"Big Hole East, Big Hole West",HFC,#10,2025-11-06,10
Big Hole West,"Big Hole East, Big Hole West",HFC,#10,2025-11-06,5
Below Big Hole East,"Big Hole East, Big Hole West",HFC,#10,2025-11-06,3
G95 Main,"G95 Main, G95 East Top",HFC,#10,2025-11-06,0
G95 East Top,"G95 Main, G95 East Top",HFC,#10,2025-11-06,0
G95 West,"G95 Main, G95 East Top",HFC,#10,2025-11-06,2
G95 East Bottom,"G95 Main, G95 East Top",HFC,#10,2025-11-06,2
Upper Hour,"G95 Main, G95 East Top",HFC,#10,2025-11-06,1
Lower Hour,"G95 Main, G95 East Top",HFC,#10,2025-11-06,4
Keister,"G95 Main, G95 East Top",HFC,#10,2025-11-06,0
G95 Main,"G95 Main, G95 East Top",HFC,#11,2025-11-12,10
G95 East Top,"G95 Main, G95 East Top",HFC,#11,2025-11-12,4
Goose,"G95 Main, G95 East Top",HFC,#11,2025-11-10,0
Big Riffle,"G95 Main, G95 East Top",HFC,#11,2025-11-10,5
Below Big Riffle,"G95 Main, G95 East Top",HFC,#11,2025-11-10,2
Big Bar,"G95 Main, G95 East Top",HFC,#11,2025-11-10,1
Upper McFarland,"G95 Main, G95 East Top",HFC,#11,2025-11-10,0
Lower McFarland,"G95 Main, G95 East Top",HFC,#11,2025-11-10,0
Developing,"G95 Main, G95 East Top",HFC,#11,2025-11-10,0
