location,date,year,latitude,longitude,survey_method,redd_number,survey_week,number_of_fish_on_redd,percent_boulder_30cm,percent_large_16_30cm,percent_medium_6_15cm,percent_small_1_5cm,percent_fine_1cm,redd_width_m,redd_length_m,velocity_m_sec,water_depth_m
Moe's Side Channel,2024-09-19,2024,39.51606617,-121.55715777,ground,32,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,5,10,55,30,NA,0.9,1.2,0.158,0.3
Moe's Side Channel,2024-09-19,2024,39.51595562,-121.5592875,ground,17,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,50,50,NA,0.8,1.2,0.327,0.34
Moe's Side Channel,2024-09-19,2024,39.51597806,-121.55932879,ground,16,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,70,30,NA,0.9,1.4,0.406,0.28
Moe's Side Channel,2024-09-19,2024,39.51592693,-121.55937504,ground,14,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,50,40,10,1.1,1.2,0.347,0.28
Moe's Side Channel,2024-09-19,2024,39.51589389,-121.55941265,ground,13,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,60,40,NA,1,1.2,0.416,0.22
Moe's Side Channel,2024-09-19,2024,39.51591907,-121.55933947,ground,12,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,10,90,NA,0.5,1,0.333,0.3
Moe's Side Channel,2024-09-19,2024,39.51588308,-121.55942898,ground,11,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,50,50,NA,0.8,2.1,0.457,0.38
Moe's Side Channel,2024-09-19,2024,39.51587537,-121.55940307,ground,10,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,40,60,NA,0.9,1.2,0.475,0.24
Moe's Side Channel,2024-09-19,2024,39.51581018,-121.55943546,ground,9,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,50,45,5,1,1.2,0.816,0.16
Moe's Side Channel,2024-09-19,2024,39.51585015,-121.55942637,ground,8,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,50,50,NA,0.6,1,0.697,0.14
Moe's Side Channel,2024-09-19,2024,39.5158545,-121.55945205,ground,7,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,40,60,NA,0.8,1.8,0.757,0.16
Moe's Side Channel,2024-09-19,2024,39.51584411,-121.55948381,ground,6,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,50,50,NA,0.9,1.2,0.445,0.2
Moe's Side Channel,2024-09-19,2024,39.51582704,-121.55948377,ground,5,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,5,55,40,NA,1.5,1.5,0.389,0.32
Moe's Side Channel,2024-09-19,2024,39.51581584,-121.55946783,ground,4,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,10,40,50,NA,1,1.5,0.456,0.3
Moe's Side Channel,2024-09-19,2024,39.51581259,-121.5595311,ground,3,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,50,50,NA,2.6,3.2,0.761,0.18
Moe's Side Channel,2024-09-19,2024,39.51580096,-121.55951991,ground,2,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,60,40,NA,1.4,2,0.716,0.18
Moe's Side Channel,2024-09-19,2024,39.51596485,-121.55933766,ground,15,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,50,50,NA,0.9,1.3,0.472,0.38
Moe's Side Channel,2024-09-19,2024,39.51612161,-121.55710047,ground,33,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,20,80,NA,0.96,1.2,0.218,0.32
Moe's Side Channel,2024-09-23,2024,39.51595207,-121.55938547,ground,1,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,10,10,50,30,NA,2,3.4,0.325,0.32
Moe's Side Channel,2024-09-23,2024,39.51610774,-121.55823338,ground,34,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,50,50,NA,1,2,0.143,0.5
Moe's Side Channel,2024-09-23,2024,39.51607,-121.55820185,ground,35,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,10,25,35,30,NA,1.1,2,0.406,0.34
Moe's Side Channel,2024-09-23,2024,39.5160787,-121.55816875,ground,36,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,70,30,NA,0.9,1.4,0.598,0.22
Moe's Side Channel,2024-09-23,2024,39.51611085,-121.55815383,ground,37,"LL, SJ - 9/23/2024 - Clear - Week 2-1",5,NA,15,55,30,NA,1.2,2,0.565,0.22
Moe's Side Channel,2024-09-23,2024,39.51610073,-121.55811119,ground,38,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,15,25,40,20,NA,1.2,2,0.244,0.34
Moe's Side Channel,2024-09-23,2024,39.51608771,-121.55810358,ground,39,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,40,60,NA,1.4,3.2,0.399,0.3
Moe's Side Channel,2024-09-23,2024,39.51608002,-121.5580627,ground,40,"LL, SJ - 9/23/2024 - Clear - Week 2-1",7,NA,10,60,30,NA,2.2,2.2,0.325,0.3
Moe's Side Channel,2024-09-23,2024,39.51607766,-121.55801376,ground,41,"LL, SJ - 9/23/2024 - Clear - Week 2-1",7,NA,NA,70,30,NA,0.9,1.6,0.762,0.2
Moe's Side Channel,2024-09-23,2024,39.51608022,-121.55796431,ground,42,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,NA,70,30,NA,1.9,2.4,0.333,0.38
Moe's Side Channel,2024-09-23,2024,39.51609649,-121.55795905,ground,43,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,50,50,NA,1.1,3,0.237,0.36
Moe's Side Channel,2024-09-23,2024,39.51610925,-121.55796604,ground,44,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,30,70,NA,1.4,2.6,0.18,0.34
Moe's Side Channel,2024-09-23,2024,39.51607976,-121.55788763,ground,45,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,NA,40,60,NA,1,1.8,0.362,0.38
Moe's Side Channel,2024-09-23,2024,39.5160955,-121.55786026,ground,46,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,NA,50,50,NA,2.2,2.2,0.515,0.36
Moe's Side Channel,2024-09-23,2024,39.5160943,-121.55824744,ground,33,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,60,40,NA,1.6,2.6,0.769,0.22
Moe's Side Channel,2024-09-23,2024,39.51607624,-121.55782348,ground,47,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,30,70,NA,1.6,2.3,0.904,0.22
Moe's Side Channel,2024-09-23,2024,39.51608787,-121.55776352,ground,49,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,40,60,NA,1.2,1.3,0.711,0.24
Moe's Side Channel,2024-09-23,2024,39.51610189,-121.55776025,ground,50,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,5,15,60,20,NA,0.9,3.3,0.648,0.2
Moe's Side Channel,2024-09-23,2024,39.51611611,-121.55771063,ground,51,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,20,30,40,10,1.3,2.4,0.05,0.4
Moe's Side Channel,2024-09-23,2024,39.51609408,-121.55771746,ground,52,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,15,45,40,NA,0.8,2,0.35,0.42
Moe's Side Channel,2024-09-23,2024,39.51607815,-121.55772268,ground,53,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,20,40,40,NA,1.3,2,0.56,0.22
Moe's Side Channel,2024-09-23,2024,39.51607683,-121.55766771,ground,54,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,15,20,50,15,NA,2,2.4,0.43,0.4
Moe's Side Channel,2024-09-23,2024,39.51611207,-121.55766889,ground,55,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,10,60,30,NA,1,1.3,0.376,0.24
Moe's Side Channel,2024-09-23,2024,39.51611415,-121.55763611,ground,56,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,5,55,40,NA,1.5,2,0.261,0.4
Moe's Side Channel,2024-09-23,2024,39.51609716,-121.5576177,ground,57,"LL, SJ - 9/23/2024 - Clear - Week 2-1",NA,NA,NA,30,70,NA,1.2,2,0.388,0.38
Moe's Side Channel,2024-09-23,2024,39.5160758,-121.55752406,ground,58,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,20,35,45,NA,2.7,3,0.509,0.52
Moe's Side Channel,2024-09-23,2024,39.5160971,-121.55751392,ground,59,"LL, SJ - 9/23/2024 - Clear - Week 2-1",6,NA,10,60,30,NA,2.2,3.3,0.182,0.38
Moe's Side Channel,2024-09-23,2024,39.51607206,-121.55746786,ground,60,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,60,40,0,NA,0.9,1.5,0.444,0.36
Moe's Side Channel,2024-09-23,2024,39.5161069,-121.55739242,ground,61,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,60,35,5,1.2,3,0.197,0.44
Moe's Side Channel,2024-09-23,2024,39.51607031,-121.55776475,ground,48,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,5,20,50,25,NA,2,2.1,0.609,0.26
Moe's Side Channel,2024-09-23,2024,39.51611784,-121.55739783,ground,62,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,15,45,40,NA,1.4,3.4,0.151,0.44
Moe's Side Channel,2024-09-23,2024,39.51611262,-121.55832682,ground,32,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,NA,70,20,10,1.2,2.4,0.165,0.42
Moe's Side Channel,2024-09-23,2024,39.51608947,-121.55830564,ground,30,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,NA,20,80,NA,1,2.2,0.529,0.2
Moe's Side Channel,2024-09-23,2024,39.51599425,-121.55932316,ground,2,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,60,40,NA,1.4,2,0.454,0.22
Moe's Side Channel,2024-09-23,2024,39.51598893,-121.55923933,ground,3,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,5,45,50,NA,1,2,0.432,0.28
Moe's Side Channel,2024-09-23,2024,39.51600218,-121.55924185,ground,4,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,60,40,NA,1,1.5,0.186,0.42
Moe's Side Channel,2024-09-23,2024,39.51599092,-121.55919796,ground,5,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,NA,50,50,NA,0.9,2,0.404,0.26
Moe's Side Channel,2024-09-23,2024,39.51597008,-121.55919509,ground,6,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,60,40,NA,0.9,2.2,0.343,0.5
Moe's Side Channel,2024-09-23,2024,39.51598626,-121.55915782,ground,7,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,70,30,NA,1.2,3,0.692,0.44
Moe's Side Channel,2024-09-23,2024,39.51601353,-121.55904913,ground,8,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,30,70,NA,2,2,0.718,0.2
Moe's Side Channel,2024-09-23,2024,39.51603707,-121.55890184,ground,9,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,15,45,40,NA,1,2.6,0.473,0.42
Moe's Side Channel,2024-09-23,2024,39.51604794,-121.55880456,ground,10,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,30,70,NA,1.4,2.5,0.499,0.16
Moe's Side Channel,2024-09-23,2024,39.51606648,-121.55878074,ground,11,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,50,50,NA,1,2,0.299,0.22
Moe's Side Channel,2024-09-23,2024,39.51607872,-121.55877804000001,ground,12,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,50,50,NA,1.4,2.6,0.506,0.2
Moe's Side Channel,2024-09-23,2024,39.516056,-121.55875389,ground,13,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,30,70,NA,1,1.6,0.346,0.2
Moe's Side Channel,2024-09-23,2024,39.51603661,-121.55873007,ground,14,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,10,40,50,NA,1.2,1.5,0.275,0.34
Moe's Side Channel,2024-09-23,2024,39.51609813,-121.55831306,ground,31,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,NA,60,40,NA,1.1,2,0.312,0.26
Moe's Side Channel,2024-09-23,2024,39.51605278,-121.55872162,ground,15,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,50,50,NA,1.2,1.3,0.227,0.46
Moe's Side Channel,2024-09-23,2024,39.51608074,-121.55868248,ground,17,"LL, SJ - 9/23/2024 - Clear - Week 2-1",7,NA,5,65,30,NA,1,2.3,0.483,0.4
Moe's Side Channel,2024-09-23,2024,39.5160774,-121.55865304,ground,18,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,30,70,NA,1.3,2,0.592,0.16
Moe's Side Channel,2024-09-23,2024,39.51609301,-121.55864504,ground,19,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,5,55,40,NA,1.2,3,0.572,0.3
Moe's Side Channel,2024-09-23,2024,39.5160598,-121.55863466,ground,20,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,10,60,30,NA,2,3.2,0.24,0.44
Moe's Side Channel,2024-09-23,2024,39.5160757,-121.55858388,ground,21,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,NA,60,40,NA,1,1.5,0.344,0.42
Moe's Side Channel,2024-09-23,2024,39.51609277,-121.55859147,ground,22,"LL, SJ - 9/23/2024 - Clear - Week 2-1",5,5,10,35,40,10,2,1.2,0.224,0.4
Moe's Side Channel,2024-09-23,2024,39.51607959,-121.55855399,ground,23,"LL, SJ - 9/23/2024 - Clear - Week 2-1",6,NA,NA,70,30,NA,1.2,1.4,0.262,0.5
Moe's Side Channel,2024-09-23,2024,39.51603772,-121.55851904,ground,24,"LL, SJ - 9/23/2024 - Clear - Week 2-1",NA,20,25,50,5,NA,0.6,0.7,0.025,0.26
Moe's Side Channel,2024-09-23,2024,39.51604753,-121.55850426,ground,25,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,60,40,NA,1,2,0.089,0.48
Moe's Side Channel,2024-09-23,2024,39.51606286,-121.55849275,ground,26,"LL, SJ - 9/23/2024 - Clear - Week 2-1",3,NA,10,50,40,NA,1.3,2.2,0.389,0.48
Moe's Side Channel,2024-09-23,2024,39.51608076,-121.55849632,ground,27,"LL, SJ - 9/23/2024 - Clear - Week 2-1",2,NA,NA,70,30,NA,1.1,1.5,0.171,0.48
Moe's Side Channel,2024-09-23,2024,39.51605956,-121.55841176,ground,28,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,NA,NA,50,50,NA,1.1,1.5,0.289,0.38
Moe's Side Channel,2024-09-23,2024,39.51607174,-121.55837987,ground,29,"LL, SJ - 9/23/2024 - Clear - Week 2-1",5,NA,NA,50,50,NA,1.2,1.4,0.295,0.5
Moe's Side Channel,2024-09-23,2024,39.51606623,-121.55868045,ground,16,"LL, SJ - 9/23/2024 - Clear - Week 2-1",4,NA,NA,30,70,NA,1,2,0.127,0.32
Moe's Side Channel,2024-09-23,2024,39.51607407,-121.55737865,ground,63,"LL, SJ - 9/23/2024 - Clear - Week 2-1",1,5,15,60,20,NA,2,2.4,0.271,0.28
Bedrock Riffle,2024-10-01,2024,39.51270656,-121.56944654,ground,1,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,5,15,70,10,NA,1.5,1.8,0.707,0.62
Bedrock Riffle,2024-10-01,2024,39.51276654,-121.56936349,ground,10,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,40,50,10,1.8,2.4,0.567,0.5
Bedrock Riffle,2024-10-01,2024,39.51248296,-121.56987879,ground,9,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,10,60,30,NA,2.2,2.6,0.421,0.86
Bedrock Riffle,2024-10-01,2024,39.51243342,-121.56986136,ground,8,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,5,65,30,NA,2,3.1,0.453,0.84
Bedrock Riffle,2024-10-01,2024,39.51240384,-121.56983522,ground,7,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,5,85,10,NA,2.2,3,0.295,0.6
Bedrock Riffle,2024-10-01,2024,39.51262021,-121.56965875,ground,6,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,5,15,40,45,NA,2.2,2.6,0.656,0.7
Bedrock Riffle,2024-10-01,2024,39.51258553,-121.56968482,ground,5,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,10,50,40,NA,2,2.5,0.856,0.6
Bedrock Riffle,2024-10-01,2024,39.51253466,-121.56960697,ground,4,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,5,15,80,NA,2.1,3.1,0.491,0.4
Bedrock Riffle,2024-10-01,2024,39.51258261,-121.56953077,ground,3,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,5,10,70,15,5,2,2.3,0.357,0.52
Bedrock Riffle,2024-10-01,2024,39.51265535,-121.56941032,ground,2,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,5,10,35,35,20,1.04,1.3,0.504,0.48
Below Lower Auditorium,2024-10-01,2024,39.51526636,-121.56093199,ground,14,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,10,70,20,NA,2.4,2.8,0.427,0.92
Below Lower Auditorium,2024-10-01,2024,39.51531486,-121.56088446,ground,13,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,70,30,NA,1.8,2,0.365,1
Below Lower Auditorium,2024-10-01,2024,39.51535832,-121.5609692,ground,12,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,50,50,NA,2.6,3.2,0.345,1
Below Lower Auditorium,2024-10-01,2024,39.51537823,-121.56097049,ground,11,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,60,40,NA,1.6,2.2,0.325,0.82
Lower Auditorium,2024-10-01,2024,39.51565459,-121.56022704,ground,30,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,NA,10,40,50,NA,1,1.5,0.307,0.4
Lower Auditorium,2024-10-01,2024,39.51571671,-121.56027437,ground,29,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,NA,NA,65,35,NA,1.8,3,0.343,0.2
Lower Auditorium,2024-10-01,2024,39.51569477,-121.56028434,ground,28,"LL, BB - 10/1/2024 - Clear - Week 3-1",3,NA,NA,65,35,NA,1,2,0.312,0.26
Lower Auditorium,2024-10-01,2024,39.51568548,-121.56029414,ground,27,"LL, BB - 10/1/2024 - Clear - Week 3-1",3,NA,NA,80,20,NA,1.3,2,0.4,0.3
Lower Auditorium,2024-10-01,2024,39.51566806,-121.56037947,ground,26,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,70,25,5,1.6,2.3,0.181,0.3
Lower Auditorium,2024-10-01,2024,39.5156759,-121.56035478,ground,25,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,80,15,5,1.2,2,0.113,0.3
Lower Auditorium,2024-10-01,2024,39.5156243,-121.5603805,ground,24,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,50,50,NA,1.1,3,0.128,0.38
Lower Auditorium,2024-10-01,2024,39.51560813,-121.56038682,ground,23,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,5,70,25,NA,2,3.5,0.306,0.4
Lower Auditorium,2024-10-01,2024,39.5155602,-121.56039845,ground,22,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,80,20,NA,2,4,0.57,0.4
Lower Auditorium,2024-10-01,2024,39.51554482,-121.56041477,ground,21,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,60,40,NA,1.7,2.4,0.958,0.4
Lower Auditorium,2024-10-01,2024,39.51550626,-121.56044972,ground,20,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,50,40,10,1.2,2,0.29,0.4
Lower Auditorium,2024-10-01,2024,39.51548352,-121.56044388,ground,19,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,70,30,NA,1.8,3,0.154,0.5
Lower Auditorium,2024-10-01,2024,39.51557737,-121.56051834,ground,18,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,60,35,5,1.8,2,0.356,0.38
Lower Auditorium,2024-10-01,2024,39.51565474,-121.56046778,ground,17,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,50,40,10,1.2,2.1,0.252,0.26
Lower Auditorium,2024-10-01,2024,39.51558967,-121.56079545,ground,16,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,25,70,5,1.2,2.3,0.137,0.44
Lower Auditorium,2024-10-01,2024,39.51556405,-121.56081472,ground,15,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,70,30,0,1.9,3.4,0.11,0.52
Middle Auditorium,2024-10-01,2024,39.51567647,-121.55905524,ground,31,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,70,30,NA,1.4,2,0.321,0.5
Middle Auditorium,2024-10-01,2024,39.51569082,-121.55901124,ground,32,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,10,70,20,NA,2.4,3,0.272,0.76
Middle Auditorium,2024-10-01,2024,39.51567655,-121.5589088,ground,33,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,15,45,40,NA,2.8,3,0.238,0.78
Middle Auditorium,2024-10-01,2024,39.51570294,-121.5588569,ground,34,"LL, BB - 10/1/2024 - Clear - Week 3-1",0,NA,5,55,40,NA,2,2.4,0.327,0.6
Middle Auditorium,2024-10-01,2024,39.51560039,-121.55941732,ground,40,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,5,15,50,30,NA,2.1,3.2,0.304,0.7
Middle Auditorium,2024-10-01,2024,39.51565393,-121.55929875,ground,39,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,75,25,NA,1,1.5,0.572,0.6
Middle Auditorium,2024-10-01,2024,39.51568684,-121.55923967,ground,38,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,5,40,55,NA,1.4,2.4,0.202,0.5
Middle Auditorium,2024-10-01,2024,39.51568283,-121.55912493,ground,37,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,70,30,NA,1.5,1.5,0.035,0.6
Middle Auditorium,2024-10-01,2024,39.51565589,-121.55915363,ground,36,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,80,20,NA,1.4,2,0.375,0.7
Middle Auditorium,2024-10-01,2024,39.5156108,-121.55915488,ground,35,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,NA,10,70,20,NA,2.3,3,0.411,0.72
Moe's Side Channel,2024-10-01,2024,39.51607746,-121.55773641,ground,97,"LL, BB - 10/1/2024 - Clear - Week 3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51607808,-121.55779716,ground,96,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51609028,-121.55781792,ground,95,"LL, BB - 10/1/2024 - Clear - Week 3-1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51610345,-121.55782653,ground,94,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51611666,-121.55787395,ground,93,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51610797,-121.55786335,ground,92,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51606407,-121.55790916,ground,91,"LL, BB - 10/1/2024 - Clear - Week 3-1",2,10,15,50,15,10,1.7,2.1,0.362,0.4
Moe's Side Channel,2024-10-01,2024,39.51611813,-121.5579986,ground,90,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moe's Side Channel,2024-10-01,2024,39.51610674,-121.55801035,ground,89,"LL, BB - 10/1/2024 - Clear - Week 3-1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
