micro_hab_data_tbl_id,p_dat_id,t_code,depth,velocity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,sur_turb,vel_clicks,adj_vel,fish_data_id,count,fl_mm,water_depth,dist_to_bottom,focal_velocity,av_vel,substrate,i_cov_code,o_cover_code_id,x_surf_turb,fish_in_tran,focal_clicks,adj_focal_vel,av_vel_clicks,adj_av_vel,species,location,date,water_temp,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,gps_coordinate,weather,channel_type,channel_geomorphic_unit
26,11,6.1,10,0.75,40,0,40,20,0,0,50,10,0,40,0,75,25,0,0,NA,NA,28,20,25,NA,0.5,0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
27,11,6.2,19,0.89,0,60,30,10,0,0,100,0,0,0,0,100,0,0,10,NA,NA,29,25,35,NA,1.5,1.42,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
27,11,6.2,19,0.89,0,60,30,10,0,0,100,0,0,0,0,100,0,0,10,NA,NA,30,2,50,NA,1.5,1.42,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
28,11,6.3,19,0.75,0,30,50,20,0,0,100,0,0,0,0,100,0,0,20,NA,NA,24,2,35,NA,0.5,0.73000002,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
29,11,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,12,1,25,NA,0.1,0.63999999,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
29,11,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,13,50,40,NA,0.5,1.08,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
29,11,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,14,6,75,NA,0.5,0.80000001,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
29,11,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,26,10,40,NA,1.5,0.94,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
29,11,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,27,20,35,NA,1.5,0.94,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
30,11,9.1,16,0.18,0,80,20,0,0,0,90,10,0,0,0,50,50,0,0,NA,NA,31,35,25,NA,1.5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
30,11,9.1,16,0.18,0,80,20,0,0,0,90,10,0,0,0,50,50,0,0,NA,NA,32,250,35,NA,1.5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
31,11,9.2,14,1.62,0,0,85,15,0,0,100,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
32,11,9.3,15,1.47,0,0,70,30,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
33,11,9.4,15,2.17,0,10,90,0,0,0,100,0,0,0,0,100,0,0,20,NA,NA,15,3,25,NA,0.1,0.44,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
34,11,12.1,3,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,0,NA,NA,33,10,25,NA,1.5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
34,11,12.1,3,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,0,NA,NA,50,2,25,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
35,11,12.2,7,0.71,0,0,45,55,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
36,11,12.3,9,2.26,0,60,30,10,0,0,100,0,0,0,0,100,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
37,11,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,NA,NA,16,8,50,NA,0.1,0.18000001,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
37,11,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,NA,NA,17,15,40,NA,0.1,0.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
37,11,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,NA,NA,18,2,25,NA,0.1,0.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
38,11,15.1,28,0.37,0,60,20,20,0,0,90,10,0,0,0,100,0,0,10,NA,NA,34,100,35,NA,2,0.51999998,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
39,11,15.2,12,0.67,0,30,60,10,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
40,11,15.3,11,1.44,0,25,60,15,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
41,11,15.4,9,1.6,0,30,60,10,0,0,100,0,0,0,0,100,0,0,20,NA,NA,51,100,35,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
42,11,18.1,11,0.44,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,0,NA,NA,38,125,45,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
42,11,18.1,11,0.44,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,0,NA,NA,39,10,25,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
43,11,18.2,12,0.4,0,70,10,20,0,0,100,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
44,11,18.3,18,1,0,20,80,0,0,0,100,0,0,0,0,100,0,0,0,NA,NA,35,150,35,NA,0.5,0.40000001,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
45,11,18.4,23,0.78,0,15,70,15,0,0,100,0,0,0,0,100,0,0,10,NA,NA,19,5,45,NA,0.1,0.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
46,11,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,NA,NA,42,5,25,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
46,11,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,NA,NA,43,100,35,NA,1.5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
46,11,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,NA,NA,44,11,25,NA,1.5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
47,11,21.2,13,1.13,0,10,40,50,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
48,11,21.3,17,0.75,0,20,60,20,0,0,100,0,0,0,0,100,0,0,15,NA,NA,36,100,40,NA,1,0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
48,11,21.3,17,0.75,0,20,60,20,0,0,100,0,0,0,0,100,0,0,15,NA,NA,37,150,45,NA,1,0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
49,11,21.4,18,1.09,0,0,80,20,0,0,100,0,0,0,0,40,0,60,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
50,11,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,NA,NA,45,75,40,NA,1.5,0.23999999,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
50,11,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,NA,NA,46,45,40,NA,1.5,0.47,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
50,11,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,NA,NA,47,4,55,NA,1.5,0.47,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
50,11,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,NA,NA,48,50,40,NA,1,1.36,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
50,11,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,NA,NA,49,2,25,NA,1,1.36,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
51,11,24.2,18,0.88,0,50,0,50,0,0,100,0,0,0,0,50,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
52,11,24.3,16,1.06,0,30,30,40,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
53,11,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,NA,NA,20,75,45,NA,0.5,0.37,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
53,11,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,NA,NA,40,1,30,NA,1,1.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
53,11,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,NA,NA,41,1,35,NA,1,0.98000002,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
55,12,0.1,2,0,0,10,70,20,0,0,50,0,0,50,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
56,12,0.2,10,0,0,0,10,80,0,10,50,0,0,50,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
57,12,0.3,18,0.2,0,0,25,50,25,0,30,10,0,60,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
58,12,0.4,22,0.33,0,0,50,25,25,0,100,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
59,12,3.1,6,0,0,0,60,40,0,0,60,30,0,10,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
60,12,3.2,16,0,0,0,10,20,70,0,40,50,0,10,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
61,12,3.3,20,0.19,0,0,25,50,25,0,90,0,0,10,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
62,12,3.4,24,0.34,0,0,60,25,15,0,100,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
63,12,6.1,6,0,0,0,80,20,0,0,60,0,0,40,0,40,60,0,0,NA,NA,52,1,25,NA,5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
64,12,6.2,16,0,0,0,90,10,0,0,75,10,0,15,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
65,12,6.3,22,0,0,0,0,75,25,0,85,0,0,15,0,100,0,0,0,NA,NA,53,20,40,NA,10,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
66,12,6.4,30,0.34,0,0,40,50,10,0,100,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
67,12,9.1,11,0,0,75,25,0,0,0,85,0,0,15,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
68,12,9.2,22,0,0,80,20,0,0,0,40,10,0,50,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
69,12,9.3,33,0,0,25,50,25,0,0,35,0,0,65,0,85,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
70,12,9.4,43,0,0,0,0,40,30,30,35,0,0,65,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
71,12,12.1,6,0,0,75,25,0,0,0,25,0,0,75,0,70,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
72,12,12.2,24,0,0,25,75,0,0,0,0,10,10,80,0,90,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
73,12,12.3,43,0,0,30,30,40,0,0,0,5,10,85,0,90,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
74,12,12.4,50,0,0,20,70,10,0,0,0,70,0,30,0,30,0,70,0,NA,NA,54,350,40,NA,50,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
75,12,15.1,14,0,20,80,0,0,0,0,40,20,0,40,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
76,12,15.2,41,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,0,NA,NA,55,300,40,NA,20,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
76,12,15.2,41,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,0,NA,NA,56,1,25,NA,20,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
77,12,15.3,51,0.41,0,0,0,70,20,10,0,20,10,70,0,90,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
78,12,15.4,67,0.39,0,0,0,10,75,15,0,20,20,60,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hour Bar,2001-03-15,56,56,1700,2,25,4,160,,Overcast,Mainchannel Branch,Glide Edgewater
79,13,0.1,9,0.56,0,0,100,0,0,0,80,0,0,20,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hatchery riffle,2001-08-20,57,66.5,600,2,25,4,0,"n 39*30.950, w 21*33.212",Direct Sunlight,Mainchannel,Riffle Edgewater
