observation_id,survey_id,unit,count,substrate,overhead_cover,instream_cover,channel_geomorphic_unit,depth,fork_length,species,run,clipped
204,10,356,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
205,10,358,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
207,10,362,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
208,10,370,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
210,10,365,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
213,10,405,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
214,10,406,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
215,10,407,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
218,10,410,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
220,10,446,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
221,10,448,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
223,10,450,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
224,10,451,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
225,10,452,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
226,11,169,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
228,11,189,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
229,11,210,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
231,11,170,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
234,11,170,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
237,11,185,1,NA,NA,NA,NA,NA,375,o. mykiss,NA,FALSE
240,11,216,1,NA,NA,NA,NA,NA,450,o. mykiss,NA,NA
241,11,215A,5,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
242,11,215A,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
244,11,173,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
245,11,176,100,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
247,11,189,3,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
248,11,189,3,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
251,11,215,30,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
253,11,171,20,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
254,11,175,10,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
255,11,175,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
257,11,185,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,NA
260,11,217,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
261,12,121,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
262,12,124,2,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
263,12,119,7,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
265,12,124,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
267,12,126,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
268,12,127,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
269,12,19,30,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
271,12,19,5,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
272,12,19,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
274,12,24,1,NA,NA,NA,NA,NA,508,o. mykiss,NA,FALSE
275,12,24,2,NA,NA,NA,NA,NA,457,o. mykiss,NA,NA
278,12,25,100,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
281,12,25,10,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
283,12,122,4,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
284,12,119,8,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
286,12,119,145,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
287,12,119,6,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
289,12,23,750,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
290,12,23,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
293,13,33,2,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
294,13,33,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
296,13,33,71,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
297,13,33,344,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
298,13,26,198,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
300,13,26,57,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
301,13,26,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
304,13,30,1,NA,NA,NA,NA,NA,250,o. mykiss,NA,NA
305,13,31,1,NA,NA,NA,NA,NA,500,o. mykiss,NA,NA
307,13,31A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
310,13,29,67,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
311,13,29,225,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
312,13,32,4400,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
314,13,32,500,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
315,14,33,63,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
318,14,33,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
319,14,33,15,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
102,3,33,17,NA,NA,NA,NA,NA,75,o. mykiss,NA,FALSE
320,14,33,110,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
321,14,33,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
323,14,33,39,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
325,14,26,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
326,14,26,49,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
327,14,26,11,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
328,14,25,45,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
329,14,19,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
330,14,24,2,NA,NA,NA,NA,NA,500,o. mykiss,NA,FALSE
332,14,24,1,NA,NA,NA,NA,NA,375,o. mykiss,NA,NA
333,14,23,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
334,14,32,500,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
336,14,32,35,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
338,14,31A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
341,15,170,1,NA,NA,NA,NA,NA,300,o. mykiss,NA,NA
342,14,30,6,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
344,14,29,4,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
345,14,29A,1,NA,NA,NA,NA,NA,400,o. mykiss,NA,NA
347,15,174,1,NA,NA,NA,NA,NA,300,o. mykiss,NA,NA
348,15,174,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,NA
350,15,173,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
354,15,217,2,NA,NA,NA,NA,NA,200,o. mykiss,NA,FALSE
355,15,171,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
356,15,175,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
358,15,185,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
360,15,185,1,NA,NA,NA,NA,NA,150,o. mykiss,NA,FALSE
362,15,185,1,NA,NA,NA,NA,NA,450,o. mykiss,NA,NA
363,15,185,3,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
364,15,189,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
366,15,215A,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
367,15,215A,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
368,15,216,1,NA,NA,NA,NA,NA,250,o. mykiss,NA,NA
370,16,19,1,NA,NA,NA,NA,NA,130,o. mykiss,NA,FALSE
371,16,19,6,NA,NA,NA,NA,NA,110,o. mykiss,NA,FALSE
373,16,19,1,NA,NA,NA,NA,NA,450,o. mykiss,NA,NA
374,16,24,1,NA,NA,NA,NA,NA,250,o. mykiss,NA,NA
377,16,31,1,NA,NA,NA,NA,NA,225,o. mykiss,NA,NA
381,16,25,5,NA,NA,NA,NA,NA,800,chinook salmon,NA,NA
382,16,25,3,NA,NA,NA,NA,NA,400,o. mykiss,NA,NA
384,16,32,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,FALSE
385,16,33,69,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
387,16,33,104,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
388,16,33,95,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
391,16,33,6,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
392,16,33,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
393,16,33,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
395,16,26,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
396,16,26,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
398,16,26,20,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
400,16,26,15,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
402,17,30,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,FALSE
403,17,30,2,NA,NA,NA,NA,NA,400,o. mykiss,NA,NA
405,17,32,5000,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
406,17,32,7000,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
407,17,32,7,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
410,17,29A,101,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
412,17,29,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
414,17,33,67,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
416,17,33,605,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
417,17,33,490,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
419,17,33,87,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
420,17,33,25,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
421,17,33,330,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
423,17,33,20,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
425,18,226,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
427,18,225,50,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
428,18,224,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
430,18,229,100,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
431,18,323B,20,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
434,18,413,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
435,18,408,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
437,18,409,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
438,18,411,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
440,18,450,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
441,18,451,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
443,18,453,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
444,19,172,1,NA,NA,NA,NA,NA,250,o. mykiss,NA,FALSE
445,19,172,1,NA,NA,NA,NA,NA,250,o. mykiss,NA,NA
447,19,172,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,NA
448,19,172,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
452,19,217,40,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
454,19,217,5,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
455,19,217,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
456,19,210,300,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
459,19,210,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
461,19,215B,20,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
462,19,215A,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
463,19,215A,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
466,19,215A,250,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
467,19,205,350,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
469,19,216,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,FALSE
470,19,216,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,NA
472,19,215,10,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
473,19,200,400,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
474,19,210,340,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
476,19,185,11,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
478,19,185,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,FALSE
482,19,189,915,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
483,19,189,15,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
485,20,105,10,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
486,20,104,1,NA,NA,NA,NA,NA,350,o. mykiss,NA,NA
488,20,100,150,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
489,20,100,135,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
491,20,98,40,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
492,20,174,1,NA,NA,NA,NA,NA,300,o. mykiss,NA,FALSE
493,20,174,1,NA,NA,NA,NA,NA,300,o. mykiss,NA,NA
495,20,175,60,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
497,20,178,40,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
499,20,178,17,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
500,20,183,740,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
502,20,170,3,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
503,20,169,235,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
505,20,169,20,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
508,20,176,1400,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
509,20,176,1375,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
510,21,21,1,NA,NA,NA,NA,NA,550,o. mykiss,NA,FALSE
512,21,21,1,NA,NA,NA,NA,NA,475,o. mykiss,NA,NA
515,21,30,1,NA,NA,NA,NA,NA,400,o. mykiss,NA,FALSE
516,21,30,1,NA,NA,NA,NA,NA,600,o. mykiss,NA,NA
519,21,32,83,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
520,21,25,5,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
522,21,121A,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
523,21,121A,50,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
524,21,121A,425,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
525,21,119,46,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
527,21,119,36,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
528,21,119,205,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
530,22,26,3337,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
531,22,26,355,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
534,22,33,215,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
122,4,25,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
1057,46,54,1,3,1,NA,Riffle Margin,0.2,90,o. mykiss,NA,FALSE
1060,46,56,20,3,1,NA,Pool,0.5,60,large mouth bass,NA,NA
1061,46,56,12,3,1,NA,Pool,0.5,60,sacramento pikeminnow or hardhead,NA,NA
1062,46,56,20,3,0,A,Riffle,0.25,65,sacramento pikeminnow or hardhead,NA,NA
1068,46,104,6,5,0,A,Riffle,1,900,chinook salmon,NA,NA
1069,46,103,1,4,3,A,Riffle,0.2,90,o. mykiss,NA,FALSE
1070,47,121,1,4,0,A,Glide,0.5,150,o. mykiss,NA,FALSE
1071,47,120,1,4,0,A,Riffle,1,300,o. mykiss,NA,FALSE
1072,47,120,1,4,0,A,Riffle,1,350,o. mykiss,NA,FALSE
1075,47,120,2,4,0,A,Riffle,1,400,o. mykiss,NA,FALSE
1076,47,119,1,4,0,A,Riffle,1,190,o. mykiss,NA,FALSE
1077,47,120,90,3,1,NA,Glide,1,25,sacramento pikeminnow or hardhead,NA,NA
1078,47,165,1,2,0,A,Pool,2,500,o. mykiss,NA,NA
1081,47,169,1,5,0,A,Glide,NA,250,sacramento pikeminnow or hardhead,NA,NA
1082,47,174,1,5,0,A,Glide,1,350,o. mykiss,NA,FALSE
1083,47,177,1,5,0,A,Glide,0.75,200,o. mykiss,NA,FALSE
1091,48,185,1,5,0,A,Glide,0.5,600,chinook salmon,NA,NA
1092,48,185,1,5,0,A,Glide,0.5,500,o. mykiss,NA,NA
1093,48,185,12,3,1,B,Riffle,0.25,35,sacramento pikeminnow or hardhead,NA,NA
1094,48,189,300,2,0,E,Pool,1.5,35,sacramento pikeminnow or hardhead,NA,NA
1096,48,189,2,4,0,B,Riffle,0.4,150,o. mykiss,NA,FALSE
1097,48,189,1,4,1,B,Riffle,0.4,300,o. mykiss,NA,FALSE
1098,48,189,5,4,0,B,Riffle,0.4,200,o. mykiss,NA,FALSE
1099,48,185,1,4,0,A,Riffle,1.5,200,o. mykiss,NA,NA
1100,48,216,1,4,0,A,Riffle,0.5,275,o. mykiss,NA,NA
1101,48,216,1,4,0,A,Glide,3,500,o. mykiss,NA,NA
1102,48,216,1,4,0,A,Glide,3,700,chinook salmon,NA,NA
1103,48,216,1,4,0,A,Glide,3,800,chinook salmon,NA,NA
1106,48,210,1,2,0,A,Riffle,0.5,300,o. mykiss,NA,FALSE
1107,48,200,1,4,0,E,NA,1,325,o. mykiss,NA,NA
1108,48,200,2,4,0,E,NA,2,200,sacramento pikeminnow or hardhead,NA,NA
1109,48,210,35,3,1,B,Glide,0.5,175,sacramento pikeminnow or hardhead,NA,NA
1110,48,210,2,3,0,E,Pool,0.75,175,large mouth bass,NA,NA
1111,48,210,50,2,0,C,Glide,2,375,sacramento pikeminnow or hardhead,NA,NA
1112,48,210,30,1,2,B,Pool,1,65,sacramento pikeminnow or hardhead,NA,NA
1113,48,217,2,4,3,A,Riffle,1,175,o. mykiss,NA,FALSE
1114,48,217,1,4,1,B,Riffle,0.1,85,o. mykiss,NA,NA
1117,48,226,2,4,0,A,Glide,1,325,sacramento pikeminnow or hardhead,NA,NA
1121,49,30,1,1,0,A,Riffle,0.35,300,o. mykiss,NA,FALSE
1122,49,30,1,1,0,A,Riffle,0.35,400,o. mykiss,NA,FALSE
1123,49,30,4,3,0,A,Riffle,0.35,225,o. mykiss,NA,FALSE
1125,49,30,1,3,0,A,Riffle,0.35,375,o. mykiss,NA,FALSE
1126,49,31,3,4,0,A,Riffle,0.5,400,o. mykiss,NA,FALSE
1127,49,31,2,4,0,A,Riffle,0.5,700,chinook salmon,NA,NA
1129,49,28,2,4,0,A,Glide,0.75,150,o. mykiss,NA,NA
1131,50,33,1,3,2,B,Riffle,0.5,75,o. mykiss,NA,FALSE
1132,50,33,2,1,1,B,Pool,0.3,100,o. mykiss,NA,FALSE
1133,50,33,2,4,1,B,Riffle,0.3,110,o. mykiss,NA,FALSE
1134,50,33,15,3,1,B,Pool,0.3,125,o. mykiss,NA,FALSE
1138,50,32,1,4,3,A,Riffle,0.5,300,o. mykiss,NA,FALSE
1139,50,32,2,4,3,A,Riffle,0.5,250,o. mykiss,NA,FALSE
1140,50,30,8,4,3,A,Riffle,0.5,175,o. mykiss,NA,FALSE
1141,50,31,8,4,3,A,Riffle,0.5,725,chinook salmon,NA,NA
1142,50,32,1,4,3,A,Riffle,0.5,650,chinook salmon,NA,NA
1143,50,31,12,4,3,A,Riffle,0.5,325,o. mykiss,NA,FALSE
1144,51,55,5,4,3,A,Riffle,0.7,800,chinook salmon,NA,NA
1059,46,56,2,3,1,NA,Pool,0.5,350,large mouth bass,NA,NA
1145,51,55,1,4,3,A,Riffle,0.7,425,o. mykiss,NA,NA
1146,51,56,1,3,1,C,Pool,1,400,large mouth bass,NA,NA
1147,51,56,1,3,3,A,Riffle,0.25,120,o. mykiss,NA,NA
1148,51,55,30,4,3,A,Riffle,0.75,800,chinook salmon,NA,NA
1151,51,104,12,4,0,A,Riffle,0.75,750,chinook salmon,NA,NA
1153,51,104,1,4,3,A,Riffle,1,450,o. mykiss,NA,FALSE
1154,51,104,2,4,3,A,Riffle,1,400,o. mykiss,NA,NA
1156,51,120,1,4,3,A,Riffle,0.75,400,o. mykiss,NA,NA
1157,51,120,3,4,3,A,Riffle,0.75,650,chinook salmon,NA,NA
1158,51,120,1,4,3,A,Riffle,0.75,500,o. mykiss,NA,NA
1159,51,119,5,3,1,B,Riffle,0.5,200,sacramento pikeminnow or hardhead,NA,NA
1161,51,120,2,4,3,A,Riffle,0.4,800,chinook salmon,NA,NA
1162,52,174,1,5,3,A,Riffle,0.5,750,chinook salmon,NA,NA
1163,52,177,2,5,0,A,Glide,0.75,600,o. mykiss,NA,FALSE
1164,52,177,3,5,0,A,Glide,0.75,800,chinook salmon,NA,NA
1165,52,177,10,5,0,A,Pool,1.5,500,sacramento pikeminnow or hardhead,NA,NA
1167,52,174,1,5,0,A,Riffle,0.4,825,chinook salmon,NA,NA
