unit,section_name,section_number,section_type,river_mile,channel_type,longitude,latitude
310,NA,NA,random,10,HFC,NA,NA
166,NA,NA,random,6,LFC,NA,NA
179,NA,NA,random,6,LFC,NA,NA
22,NA,NA,random,1,LFC,NA,NA
46,NA,NA,random,1,LFC,NA,NA
39,NA,NA,random,1,LFC,NA,NA
42,NA,NA,random,1,LFC,NA,NA
59,NA,NA,random,2,LFC,NA,NA
1,NA,NA,random,1,LFC,NA,NA
5,NA,NA,random,1,LFC,NA,NA
10,NA,NA,random,1,LFC,NA,NA
8,NA,NA,random,1,LFC,NA,NA
35,NA,NA,random,1,LFC,NA,NA
34,NA,NA,random,1,LFC,NA,NA
38,NA,NA,random,1,LFC,NA,NA
6,NA,NA,random,1,LFC,NA,NA
7,NA,NA,random,1,LFC,NA,NA
9,NA,NA,random,1,LFC,NA,NA
51,NA,NA,random,2,LFC,NA,NA
52,NA,NA,random,2,LFC,NA,NA
449,NA,NA,random,15,HFC,NA,NA
412,NA,NA,random,13,HFC,NA,NA
180,NA,NA,random,6,LFC,NA,NA
125,NA,NA,random,4,LFC,NA,NA
484,NA,NA,random,18,HFC,NA,NA
485,NA,NA,random,18,HFC,NA,NA
388,NA,NA,random,12,HFC,NA,NA
328,NA,NA,random,10,HFC,NA,NA
364,NA,NA,random,11,HFC,NA,NA
367,NA,NA,random,11,HFC,NA,NA
361,NA,NA,random,11,HFC,NA,NA
454,NA,NA,random,15,HFC,NA,NA
123,NA,NA,random,4,LFC,NA,NA
193,NA,NA,random,7,LFC,NA,NA
337,NA,NA,random,11,HFC,NA,NA
198,NA,NA,random,7,LFC,NA,NA
199,NA,NA,random,7,LFC,NA,NA
208,NA,NA,random,7,LFC,NA,NA
241,NA,NA,random,8,LFC,NA,NA
275,NA,NA,random,9,HFC,NA,NA
283,NA,NA,random,9,HFC,NA,NA
295,NA,NA,random,10,HFC,NA,NA
305,NA,NA,random,10,HFC,NA,NA
311,NA,NA,random,10,HFC,NA,NA
37,NA,NA,random,1,LFC,NA,NA
12,NA,NA,random,1,LFC,NA,NA
11,NA,NA,random,1,LFC,NA,NA
50,NA,NA,random,2,LFC,NA,NA
483,NA,NA,random,18,HFC,NA,NA
308,NA,NA,random,10,HFC,NA,NA
272,NA,NA,random,9,HFC,NA,NA
290,NA,NA,random,9,HFC,NA,NA
387,NA,NA,random,12,HFC,NA,NA
336,NA,NA,random,11,HFC,NA,NA
213,NA,NA,random,7,LFC,NA,NA
237,NA,NA,random,8,LFC,NA,NA
36,NA,NA,random,1,LFC,NA,NA
359,NA,NA,random,11,HFC,NA,NA
289,NA,NA,random,9,HFC,NA,NA
294,NA,NA,random,10,HFC,NA,NA
500,NA,NA,random,19,HFC,NA,NA
107,NA,NA,random,4,LFC,NA,NA
106,NA,NA,random,4,LFC,NA,NA
227,NA,NA,random,8,LFC,NA,NA
HGSC,NA,NA,random,NA,NA,-121.6320712744629,39.35596140694254
HPRL,NA,NA,random,NA,NA,-121.6236714194825,39.31489994658549
CF,NA,NA,random,NA,NA,-121.6319202449533,39.33551299660206
BRB,NA,NA,random,NA,NA,-121.6226321392267,39.39067859002783
HTPSC,NA,NA,random,NA,NA,-121.6271981300379,39.41262369973721
UHSC,NA,NA,random,NA,NA,-121.6242949214489,39.42096731730246
SEC2,NA,NA,random,NA,NA,-121.5533257602825,39.51610083403059
235,NA,NA,random,8,LFC,NA,NA
164,NA,NA,random,6,LFC,NA,NA
167,NA,NA,random,6,LFC,NA,NA
161,NA,NA,random,5,LFC,NA,NA
162,NA,NA,random,5,LFC,NA,NA
351,NA,NA,random,11,HFC,NA,NA
368,NA,NA,random,11,HFC,NA,NA
163,NA,NA,random,5,LFC,NA,NA
99,NA,NA,random,3,LFC,NA,NA
RBUB,NA,NA,random,NA,NA,-121.5775597296587,39.5078583091067
118,NA,NA,random,4,LFC,NA,NA
2,NA,NA,NA,1,LFC,NA,NA
4,NA,NA,NA,1,LFC,NA,NA
13,NA,NA,NA,1,LFC,NA,NA
14,NA,NA,NA,1,LFC,NA,NA
16,NA,NA,NA,1,LFC,NA,NA
17,NA,NA,NA,1,LFC,NA,NA
18,NA,NA,NA,1,LFC,NA,NA
30A,NA,NA,NA,1,LFC,NA,NA
41,NA,NA,NA,1,LFC,NA,NA
43,NA,NA,NA,1,LFC,NA,NA
45,NA,NA,NA,1,LFC,NA,NA
47,NA,NA,NA,1,LFC,NA,NA
49,NA,NA,NA,1,LFC,NA,NA
53,NA,NA,NA,2,LFC,NA,NA
57,NA,NA,NA,2,LFC,NA,NA
58,NA,NA,NA,2,LFC,NA,NA
61,NA,NA,NA,2,LFC,NA,NA
62,NA,NA,NA,2,LFC,NA,NA
63,NA,NA,NA,2,LFC,NA,NA
65,NA,NA,NA,2,LFC,NA,NA
66,NA,NA,NA,2,LFC,NA,NA
67,NA,NA,NA,2,LFC,NA,NA
69,NA,NA,NA,2,LFC,NA,NA
70,NA,NA,NA,2,LFC,NA,NA
130,NA,NA,NA,4,LFC,NA,NA
133,NA,NA,NA,4,LFC,NA,NA
137,NA,NA,NA,5,LFC,NA,NA
141,NA,NA,NA,5,LFC,NA,NA
145,NA,NA,NA,5,LFC,NA,NA
149,NA,NA,NA,5,LFC,NA,NA
153,NA,NA,NA,5,LFC,NA,NA
157,NA,NA,NA,5,LFC,NA,NA
184,NA,NA,NA,6,LFC,NA,NA
188,NA,NA,NA,7,LFC,NA,NA
196,NA,NA,NA,7,LFC,NA,NA
203,NA,NA,NA,7,LFC,NA,NA
211,NA,NA,NA,7,LFC,NA,NA
220,NA,NA,NA,8,LFC,NA,NA
232,NA,NA,NA,8,LFC,NA,NA
240,NA,NA,NA,8,LFC,NA,NA
244,NA,NA,NA,8,LFC,NA,NA
248,NA,NA,NA,9,HFC,NA,NA
252,NA,NA,NA,9,HFC,NA,NA
255,NA,NA,NA,9,HFC,NA,NA
259,NA,NA,NA,9,HFC,NA,NA
263,NA,NA,NA,9,HFC,NA,NA
279,NA,NA,NA,9,HFC,NA,NA
286,NA,NA,NA,9,HFC,NA,NA
298,NA,NA,NA,10,HFC,NA,NA
302,NA,NA,NA,10,HFC,NA,NA
314,NA,NA,NA,10,HFC,NA,NA
318,NA,NA,NA,10,HFC,NA,NA
322,NA,NA,NA,10,HFC,NA,NA
324,NA,NA,NA,10,HFC,NA,NA
333,NA,NA,NA,11,HFC,NA,NA
341,NA,NA,NA,11,HFC,NA,NA
345,NA,NA,NA,11,HFC,NA,NA
349,NA,NA,NA,11,HFC,NA,NA
353,NA,NA,NA,11,HFC,NA,NA
357,NA,NA,NA,11,HFC,NA,NA
369,NA,NA,NA,11,HFC,NA,NA
373,NA,NA,NA,12,HFC,NA,NA
377,NA,NA,NA,12,HFC,NA,NA
381,NA,NA,NA,12,HFC,NA,NA
385,NA,NA,NA,12,HFC,NA,NA
389,NA,NA,NA,12,HFC,NA,NA
393,NA,NA,NA,12,HFC,NA,NA
401,NA,NA,NA,13,HFC,NA,NA
414,NA,NA,NA,13,HFC,NA,NA
418,NA,NA,NA,13,HFC,NA,NA
422,NA,NA,NA,13,HFC,NA,NA
430,NA,NA,NA,14,HFC,NA,NA
434,NA,NA,NA,14,HFC,NA,NA
438,NA,NA,NA,15,HFC,NA,NA
442,NA,NA,NA,15,HFC,NA,NA
458,NA,NA,NA,16,HFC,NA,NA
462,NA,NA,NA,16,HFC,NA,NA
466,NA,NA,NA,16,HFC,NA,NA
470,NA,NA,NA,17,HFC,NA,NA
474,NA,NA,NA,17,HFC,NA,NA
478,NA,NA,NA,18,HFC,NA,NA
482,NA,NA,NA,18,HFC,NA,NA
490,NA,NA,NA,18,HFC,NA,NA
494,NA,NA,NA,18,HFC,NA,NA
498,NA,NA,NA,19,HFC,NA,NA
506,NA,NA,NA,19,HFC,NA,NA
510,NA,NA,NA,19,HFC,NA,NA
514,NA,NA,NA,20,HFC,NA,NA
518,NA,NA,NA,20,HFC,NA,NA
522,NA,NA,NA,20,HFC,NA,NA
526,NA,NA,NA,21,HFC,NA,NA
530,NA,NA,NA,21,HFC,NA,NA
534,NA,NA,NA,21,HFC,NA,NA
538,NA,NA,NA,21,HFC,NA,NA
542,NA,NA,NA,21,HFC,NA,NA
MOES,NA,NA,NA,1,LFC,NA,NA
71,NA,NA,NA,2,LFC,NA,NA
73,NA,NA,NA,2,LFC,NA,NA
74,NA,NA,NA,2,LFC,NA,NA
75,NA,NA,NA,2,LFC,NA,NA
77,NA,NA,NA,2,LFC,NA,NA
78,NA,NA,NA,2,LFC,NA,NA
79,NA,NA,NA,2,LFC,NA,NA
81,NA,NA,NA,3,LFC,NA,NA
82,NA,NA,NA,3,LFC,NA,NA
83,NA,NA,NA,3,LFC,NA,NA
85,NA,NA,NA,3,LFC,NA,NA
86,NA,NA,NA,3,LFC,NA,NA
87,NA,NA,NA,3,LFC,NA,NA
89,NA,NA,NA,3,LFC,NA,NA
90,NA,NA,NA,3,LFC,NA,NA
91,NA,NA,NA,3,LFC,NA,NA
93,NA,NA,NA,3,LFC,NA,NA
94,NA,NA,NA,3,LFC,NA,NA
95,NA,NA,NA,3,LFC,NA,NA
101,NA,NA,NA,3,LFC,NA,NA
109,NA,NA,NA,4,LFC,NA,NA
110,NA,NA,NA,4,LFC,NA,NA
112,NA,NA,NA,4,LFC,NA,NA
113,NA,NA,NA,4,LFC,NA,NA
114,NA,NA,NA,4,LFC,NA,NA
116,NA,NA,NA,4,LFC,NA,NA
117,NA,NA,NA,4,LFC,NA,NA
128,NA,NA,NA,4,LFC,NA,NA
129,NA,NA,NA,4,LFC,NA,NA
131,NA,NA,NA,4,LFC,NA,NA
132,NA,NA,NA,4,LFC,NA,NA
134,NA,NA,NA,4,LFC,NA,NA
135,NA,NA,NA,4,LFC,NA,NA
136,NA,NA,NA,4,LFC,NA,NA
138,NA,NA,NA,5,LFC,NA,NA
139,NA,NA,NA,5,LFC,NA,NA
140,NA,NA,NA,5,LFC,NA,NA
142,NA,NA,NA,5,LFC,NA,NA
143,NA,NA,NA,5,LFC,NA,NA
144,NA,NA,NA,5,LFC,NA,NA
146,NA,NA,NA,5,LFC,NA,NA
147,NA,NA,NA,5,LFC,NA,NA
148,NA,NA,NA,5,LFC,NA,NA
150,NA,NA,NA,5,LFC,NA,NA
151,NA,NA,NA,5,LFC,NA,NA
152,NA,NA,NA,5,LFC,NA,NA
154,NA,NA,NA,5,LFC,NA,NA
155,NA,NA,NA,5,LFC,NA,NA
156,NA,NA,NA,5,LFC,NA,NA
158,NA,NA,NA,5,LFC,NA,NA
159,NA,NA,NA,5,LFC,NA,NA
160,NA,NA,NA,5,LFC,NA,NA
168,NA,NA,NA,6,LFC,NA,NA
181,NA,NA,NA,6,LFC,NA,NA
182,NA,NA,NA,6,LFC,NA,NA
186,NA,NA,NA,7,LFC,NA,NA
187,NA,NA,NA,7,LFC,NA,NA
190,NA,NA,NA,7,LFC,NA,NA
194,NA,NA,NA,7,LFC,NA,NA
195,NA,NA,NA,7,LFC,NA,NA
201,NA,NA,NA,7,LFC,NA,NA
202,NA,NA,NA,7,LFC,NA,NA
204,NA,NA,NA,7,LFC,NA,NA
206,NA,NA,NA,7,LFC,NA,NA
209,NA,NA,NA,7,LFC,NA,NA
212,NA,NA,NA,7,LFC,NA,NA
214,NA,NA,NA,7,LFC,NA,NA
218,NA,NA,NA,8,LFC,NA,NA
219,NA,NA,NA,8,LFC,NA,NA
222,NA,NA,NA,8,LFC,NA,NA
223,NA,NA,NA,8,LFC,NA,NA
230,NA,NA,NA,8,LFC,NA,NA
231,NA,NA,NA,8,LFC,NA,NA
234,NA,NA,NA,8,LFC,NA,NA
238,NA,NA,NA,8,LFC,NA,NA
239,NA,NA,NA,8,LFC,NA,NA
242,NA,NA,NA,8,LFC,NA,NA
243,NA,NA,NA,8,LFC,NA,NA
245,NA,NA,NA,8,LFC,NA,NA
246,NA,NA,NA,8,LFC,NA,NA
247,NA,NA,NA,8,LFC,NA,NA
249,NA,NA,NA,9,HFC,NA,NA
250,NA,NA,NA,9,HFC,NA,NA
251,NA,NA,NA,9,HFC,NA,NA
253,NA,NA,NA,9,HFC,NA,NA
254,NA,NA,NA,9,HFC,NA,NA
256,NA,NA,NA,9,HFC,NA,NA
257,NA,NA,NA,9,HFC,NA,NA
258,NA,NA,NA,9,HFC,NA,NA
260,NA,NA,NA,9,HFC,NA,NA
261,NA,NA,NA,9,HFC,NA,NA
262,NA,NA,NA,9,HFC,NA,NA
264,NA,NA,NA,9,HFC,NA,NA
265,NA,NA,NA,9,HFC,NA,NA
277,NA,NA,NA,9,HFC,NA,NA
280,NA,NA,NA,9,HFC,NA,NA
281,NA,NA,NA,9,HFC,NA,NA
285,NA,NA,NA,9,HFC,NA,NA
287,NA,NA,NA,9,HFC,NA,NA
291,NA,NA,NA,10,HFC,NA,NA
292,NA,NA,NA,10,HFC,NA,NA
293,NA,NA,NA,10,HFC,NA,NA
300,NA,NA,NA,10,HFC,NA,NA
301,NA,NA,NA,10,HFC,NA,NA
307,NA,NA,NA,10,HFC,NA,NA
312,NA,NA,NA,10,HFC,NA,NA
313,NA,NA,NA,10,HFC,NA,NA
315,NA,NA,NA,10,HFC,NA,NA
316,NA,NA,NA,10,HFC,NA,NA
317,NA,NA,NA,10,HFC,NA,NA
319,NA,NA,NA,10,HFC,NA,NA
320,NA,NA,NA,10,HFC,NA,NA
321,NA,NA,NA,10,HFC,NA,NA
323,NA,NA,NA,10,HFC,NA,NA
325,NA,NA,NA,10,HFC,NA,NA
326,NA,NA,NA,10,HFC,NA,NA
327,NA,NA,NA,10,HFC,NA,NA
332,NA,NA,NA,11,HFC,NA,NA
338,NA,NA,NA,11,HFC,NA,NA
339,NA,NA,NA,11,HFC,NA,NA
340,NA,NA,NA,11,HFC,NA,NA
342,NA,NA,NA,11,HFC,NA,NA
343,NA,NA,NA,11,HFC,NA,NA
344,NA,NA,NA,11,HFC,NA,NA
346,NA,NA,NA,11,HFC,NA,NA
347,NA,NA,NA,11,HFC,NA,NA
348,NA,NA,NA,11,HFC,NA,NA
350,NA,NA,NA,11,HFC,NA,NA
354,NA,NA,NA,11,HFC,NA,NA
360,NA,NA,NA,11,HFC,NA,NA
363,NA,NA,NA,11,HFC,NA,NA
366,NA,NA,NA,11,HFC,NA,NA
371,NA,NA,NA,12,HFC,NA,NA
372,NA,NA,NA,12,HFC,NA,NA
374,NA,NA,NA,12,HFC,NA,NA
375,NA,NA,NA,12,HFC,NA,NA
376,NA,NA,NA,12,HFC,NA,NA
378,NA,NA,NA,12,HFC,NA,NA
379,NA,NA,NA,12,HFC,NA,NA
380,NA,NA,NA,12,HFC,NA,NA
382,NA,NA,NA,12,HFC,NA,NA
383,NA,NA,NA,12,HFC,NA,NA
384,NA,NA,NA,12,HFC,NA,NA
386,NA,NA,NA,12,HFC,NA,NA
390,NA,NA,NA,12,HFC,NA,NA
391,NA,NA,NA,12,HFC,NA,NA
392,NA,NA,NA,12,HFC,NA,NA
394,NA,NA,NA,12,HFC,NA,NA
395,NA,NA,NA,12,HFC,NA,NA
396,NA,NA,NA,12,HFC,NA,NA
398,NA,NA,NA,12,HFC,NA,NA
399,NA,NA,NA,12,HFC,NA,NA
400,NA,NA,NA,12,HFC,NA,NA
404,NA,NA,NA,13,HFC,NA,NA
415,NA,NA,NA,13,HFC,NA,NA
416,NA,NA,NA,13,HFC,NA,NA
417,NA,NA,NA,13,HFC,NA,NA
419,NA,NA,NA,13,HFC,NA,NA
420,NA,NA,NA,13,HFC,NA,NA
421,NA,NA,NA,13,HFC,NA,NA
423,NA,NA,NA,13,HFC,NA,NA
425,NA,NA,NA,14,HFC,NA,NA
427,NA,NA,NA,14,HFC,NA,NA
428,NA,NA,NA,14,HFC,NA,NA
429,NA,NA,NA,14,HFC,NA,NA
431,NA,NA,NA,14,HFC,NA,NA
432,NA,NA,NA,14,HFC,NA,NA
433,NA,NA,NA,14,HFC,NA,NA
435,NA,NA,NA,14,HFC,NA,NA
436,NA,NA,NA,15,HFC,NA,NA
437,NA,NA,NA,15,HFC,NA,NA
439,NA,NA,NA,15,HFC,NA,NA
440,NA,NA,NA,15,HFC,NA,NA
443,NA,NA,NA,15,HFC,NA,NA
444,NA,NA,NA,15,HFC,NA,NA
447,NA,NA,NA,15,HFC,NA,NA
455,NA,NA,NA,15,HFC,NA,NA
456,NA,NA,NA,15,HFC,NA,NA
457,NA,NA,NA,15,HFC,NA,NA
459,NA,NA,NA,16,HFC,NA,NA
460,NA,NA,NA,16,HFC,NA,NA
461,NA,NA,NA,16,HFC,NA,NA
463,NA,NA,NA,16,HFC,NA,NA
464,NA,NA,NA,16,HFC,NA,NA
465,NA,NA,NA,16,HFC,NA,NA
467,NA,NA,NA,17,HFC,NA,NA
468,NA,NA,NA,17,HFC,NA,NA
469,NA,NA,NA,17,HFC,NA,NA
471,NA,NA,NA,17,HFC,NA,NA
472,NA,NA,NA,17,HFC,NA,NA
473,NA,NA,NA,17,HFC,NA,NA
475,NA,NA,NA,17,HFC,NA,NA
476,NA,NA,NA,18,HFC,NA,NA
477,NA,NA,NA,18,HFC,NA,NA
479,NA,NA,NA,18,HFC,NA,NA
480,NA,NA,NA,18,HFC,NA,NA
481,NA,NA,NA,18,HFC,NA,NA
488,NA,NA,NA,18,HFC,NA,NA
489,NA,NA,NA,18,HFC,NA,NA
491,NA,NA,NA,18,HFC,NA,NA
492,NA,NA,NA,18,HFC,NA,NA
493,NA,NA,NA,18,HFC,NA,NA
495,NA,NA,NA,18,HFC,NA,NA
496,NA,NA,NA,19,HFC,NA,NA
497,NA,NA,NA,19,HFC,NA,NA
501,NA,NA,NA,19,HFC,NA,NA
503,NA,NA,NA,19,HFC,NA,NA
504,NA,NA,NA,19,HFC,NA,NA
505,NA,NA,NA,19,HFC,NA,NA
507,NA,NA,NA,19,HFC,NA,NA
508,NA,NA,NA,19,HFC,NA,NA
509,NA,NA,NA,19,HFC,NA,NA
511,NA,NA,NA,20,HFC,NA,NA
512,NA,NA,NA,20,HFC,NA,NA
513,NA,NA,NA,20,HFC,NA,NA
515,NA,NA,NA,20,HFC,NA,NA
516,NA,NA,NA,20,HFC,NA,NA
517,NA,NA,NA,20,HFC,NA,NA
519,NA,NA,NA,20,HFC,NA,NA
520,NA,NA,NA,20,HFC,NA,NA
521,NA,NA,NA,20,HFC,NA,NA
523,NA,NA,NA,20,HFC,NA,NA
524,NA,NA,NA,20,HFC,NA,NA
525,NA,NA,NA,20,HFC,NA,NA
527,NA,NA,NA,21,HFC,NA,NA
528,NA,NA,NA,21,HFC,NA,NA
529,NA,NA,NA,21,HFC,NA,NA
531,NA,NA,NA,21,HFC,NA,NA
532,NA,NA,NA,21,HFC,NA,NA
533,NA,NA,NA,21,HFC,NA,NA
535,NA,NA,NA,21,HFC,NA,NA
536,NA,NA,NA,21,HFC,NA,NA
537,NA,NA,NA,21,HFC,NA,NA
539,NA,NA,NA,21,HFC,NA,NA
540,NA,NA,NA,21,HFC,NA,NA
541,NA,NA,NA,21,HFC,NA,NA
3,NA,NA,NA,1,LFC,NA,NA
15,NA,NA,NA,1,LFC,NA,NA
40,NA,NA,NA,1,LFC,NA,NA
44,NA,NA,NA,1,LFC,NA,NA
48,NA,NA,NA,1,LFC,NA,NA
60,NA,NA,NA,2,LFC,NA,NA
64,NA,NA,NA,2,LFC,NA,NA
68,NA,NA,NA,2,LFC,NA,NA
72,NA,NA,NA,2,LFC,NA,NA
76,NA,NA,NA,2,LFC,NA,NA
80,NA,NA,NA,3,LFC,NA,NA
84,NA,NA,NA,3,LFC,NA,NA
88,NA,NA,NA,3,LFC,NA,NA
92,NA,NA,NA,3,LFC,NA,NA
111,NA,NA,NA,4,LFC,NA,NA
115,NA,NA,NA,4,LFC,NA,NA
