section_name,section_number,unit,section_type
NA,NA,219,random
NA,NA,272,random
NA,NA,291,random
NA,NA,317,random
NA,NA,312,random
NA,NA,319,random
NA,NA,324,random
NA,NA,321,random
NA,NA,329,random
NA,NA,229B,random
NA,NA,373,random
NA,NA,391,random
NA,NA,371,random
NA,NA,381,random
NA,NA,399,random
NA,NA,404,random
NA,NA,420,random
NA,NA,429,random
NA,NA,448A,random
NA,NA,443,random
NA,NA,457,random
NA,NA,455,random
NA,NA,464,random
NA,NA,466,random
NA,NA,501,random
NA,NA,513,random
NA,NA,534,random
NA,NA,482,random
NA,NA,488,random
NA,NA,540,random
NA,NA,541,random
NA,NA,543,random
NA,NA,401,random
NA,NA,18,random
NA,NA,456,random
NA,NA,428,random
NA,NA,431,random
NA,NA,256,random
NA,NA,377,random
NA,NA,271b,random
NA,NA,326,random
NA,NA,272a,random
NA,NA,323,random
NA,NA,274a,random
NA,NA,111a,random
NA,NA,118a,random
NA,NA,121a,random
NA,NA,215b,random
NA,NA,447,random
NA,NA,525,random
NA,NA,523,random
NA,NA,491,random
NA,NA,489,random
NA,NA,459,random
NA,NA,341,random
NA,NA,87,random
NA,NA,85,random
NA,NA,116,random
NA,NA,335B,random
NA,NA,272b,random
NA,NA,438,random
NA,NA,442,random
NA,NA,223,random
NA,NA,357,random
NA,NA,379,random
NA,NA,383,random
NA,NA,372,random
NA,NA,194,random
NA,NA,58,random
NA,NA,49,random
Hatchery Riffle,1,23,permanent
Hatchery Riffle,1,24,permanent
Hatchery Riffle,1,25,permanent
Hatchery Riffle,1,19,permanent
Hatchery Ditch,2,26,permanent
Hatchery Ditch,3,28,permanent
Hatchery Ditch,2,33,permanent
Auditorium Riffle,4,29,permanent
Auditorium Riffle,4,30,permanent
Auditorium Riffle,4,31,permanent
Auditorium Riffle,4,32,permanent
Bedrock Riffle,5,55,permanent
Bedrock Riffle,5,56,permanent
Trailer Park Riffle,6,96,permanent
Trailer Park Riffle,6,97,permanent
Trailer Park Riffle,6,98,permanent
Matthews Riffle,7,103,permanent
Matthews Riffle,7,104,permanent
Matthews Riffle,7,105,permanent
Aleck Riffle,8,119,permanent
Aleck Riffle,8,120,permanent
Robinson Riffle,9,169,permanent
Robinson Riffle,9,170,permanent
Robinson Riffle,9,171,permanent
Robinson Riffle,9,173,permanent
Robinson Riffle,9,174,permanent
Robinson Riffle,9,175,permanent
Steep Riffle,10,185,permanent
Steep Riffle,10,189,permanent
Eye Riffle,11,215A,permanent
Eye Riffle,11,216,permanent
Eye Riffle,11,215B,permanent
Eye Riffle,11,217,permanent
Eye Riffle,11,210,permanent
Gateway Riffle,12,221,permanent
Gateway Riffle,12,225,permanent
Gateway Riffle,12,226,permanent
Gateway Riffle,12,229,permanent
Gateway Riffle,12,228,permanent
Vance Riffle,13,268,permanent
Vance Riffle,13,266,permanent
G95,14,323A,permanent
G95,14,323B,permanent
Kiester Riffle,15,402,permanent
Kiester Riffle,15,403,permanent
Kiester Riffle,15,397,permanent
Goose Riffle,16,408,permanent
Big Riffle,17,424,permanent
Big Riffle,17,426,permanent
McFarland,18,441,permanent
McFarland,18,445,permanent
McFarland,18,450,permanent
Gridley Riffle,19,486,permanent
Gridley Riffle,19,487,permanent
Junkyard Riffle,20,499,permanent
Junkyard Riffle,20,502,permanent
